Pos,ID,Name,BV,SV,Team,34_xMins,34_Pts,35_xMins,35_Pts,36_xMins,36_Pts,37_xMins,37_Pts,38_xMins,38_Pts
F,318,Haaland,12.3,12.3,Man City,75,11.717,72,6.267,70,5.932,69,10.215,70,5.665
M,124,Mitoma,5.6,5.5,Brighton,79,9.908,79,5.293,77,8.189,75,8.924,74,4.542
M,333,Fernandes,9.4,9.4,Man Utd,84,9.341,83,4.903,81,5.478,82,10.232,80,5.338
M,335,Rashford,7.1,6.9,Man Utd,78,9.379,78,5.038,76,5.315,74,9.837,76,5.24
M,283,Salah,13.0,12.9,Liverpool,80,11.544,80,5.711,79,5.688,78,5.551,76,6.298
M,116,Mac Allister,5.5,5.4,Brighton,78,8.927,79,4.796,77,7.207,76,8.184,75,3.851
M,107,March,5.3,5.3,Brighton,78,8.42,80,4.521,78,6.949,75,7.69,76,3.971
G,102,Steele,3.9,3.9,Brighton,87,8.488,87,4.789,88,6.317,86,8.011,85,3.828
M,301,De Bruyne,12.1,12.1,Man City,71,10.294,66,4.541,68,4.979,63,7.338,64,3.884
D,586,Estupiñán,4.8,4.8,Brighton,83,8.619,81,4.93,79,5.909,78,7.783,76,3.642
G,307,Ederson,5.4,5.4,Man City,89,8.866,87,4.521,86,4.18,87,7.609,87,3.632
M,104,Groß,5.4,5.4,Brighton,76,7.36,78,4.001,76,6.329,76,6.965,76,3.494
D,357,Trippier,6.2,6.0,Newcastle,84,5.912,82,3.827,81,8.728,78,5.099,77,4.267
D,285,Alexander-Arnold,7.5,7.4,Liverpool,85,9.537,82,4.373,80,4.171,79,4.396,78,4.738
D,332,Shaw,5.1,5.1,Man Utd,82,6.641,80,3.52,79,4.566,76,7.928,77,4.256
D,106,Dunk,4.8,4.8,Brighton,83,7.336,84,4.236,84,4.926,83,6.606,81,3.092
D,312,Dias,6.0,6.0,Man City,76,8.433,72,4.149,69,3.622,71,6.616,70,3.075
G,327,De Gea,5.0,5.0,Man Utd,89,6.43,88,3.304,88,4.072,87,7.301,86,3.887
F,427,Kane,11.5,11.5,Spurs,87,4.355,84,5.177,80,4.776,79,5.113,80,5.173
D,284,Robertson,6.8,6.8,Liverpool,76,8.566,78,4.071,76,3.826,74,3.87,75,4.212
M,13,Saka,8.3,8.3,Arsenal,82,5.111,80,4.317,76,4.465,76,5.192,76,5.333
D,342,Dalot,4.7,4.7,Man Utd,72,6.278,70,3.186,71,4.14,71,7.306,67,3.346
G,281,Alisson,5.4,5.4,Liverpool,89,8.167,88,3.779,88,3.658,87,3.866,86,4.03
G,133,Arrizabalaga,4.6,4.6,Chelsea,85,3.196,83,4.388,83,5.111,82,6.613,83,3.771
G,376,Pope,5.4,5.4,Newcastle,89,4.777,88,3.23,86,7.216,87,4.149,87,3.588
M,315,Rodri,5.6,5.6,Man City,77,6.882,78,3.616,76,3.41,74,5.928,75,3.065
M,346,Andreas,4.4,4.4,Fulham,81,6.043,81,4.295,74,4.085,73,3.8,73,3.492
G,175,Johnstone,4.4,4.4,Crystal Palace,84,4.619,79,3.924,75,5.028,69,4.255,68,4.824
F,40,Watkins,7.8,7.5,Aston Villa,86,4.478,86,4.789,84,4.8,84,4.141,83,4.163
M,465,Bowen,8.0,8.0,West Ham,80,7.308,78,3.738,74,3.624,73,3.875,74,3.724
D,280,Van Dijk,6.6,6.6,Liverpool,86,7.787,83,3.51,80,3.31,77,3.575,76,3.768
M,593,Casemiro,4.9,4.9,Man Utd,77,6.184,76,3.241,71,3.21,71,6.107,71,3.127
D,559,Colwill,4.4,4.4,Brighton,57,4.187,74,4.095,73,4.682,71,6.109,68,2.774
D,337,Lindelöf,4.1,4.1,Man Utd,79,5.477,79,2.795,76,3.756,74,6.34,75,3.462
M,305,Grealish,7.3,7.3,Man City,65,6.846,67,3.558,63,3.177,62,5.494,60,2.44
M,7,Ødegaard,6.6,6.6,Arsenal,80,4.502,80,3.916,76,3.965,77,4.755,73,4.318
G,455,Fabianski,4.9,4.9,West Ham,88,6.578,87,3.494,85,3.473,85,4.124,86,3.662
G,2,Leno,4.6,4.6,Fulham,87,5.666,88,3.932,88,3.977,84,4.205,85,3.148
F,125,Enciso,4.6,4.6,Brighton,44,6.418,27,2.678,26,4.526,25,4.73,26,2.482
M,679,Buonanotte,4.5,4.5,Brighton,34,5.493,31,2.832,31,4.886,32,5.107,28,2.419
F,594,Isak,6.9,6.9,Newcastle,66,4.063,67,3.659,61,6.381,58,3.142,62,3.299
M,120,Caicedo,5.0,5.0,Brighton,82,5.357,77,2.815,78,4.601,76,5.047,77,2.501
D,377,Botman,4.5,4.5,Newcastle,81,4.525,82,2.708,78,6.299,78,3.736,77,3.047
D,366,Schär,5.1,5.1,Newcastle,82,4.673,80,2.8,75,6.257,72,3.58,72,2.975
M,261,Maddison,8.0,8.0,Leicester,84,4.645,79,4.291,78,3.787,77,3.532,76,4.014
D,358,Burn,4.5,4.5,Newcastle,79,4.498,80,2.704,80,6.32,78,3.745,76,2.995
D,139,Chilwell,5.8,5.8,Chelsea,78,2.74,78,4.251,77,5.04,73,4.987,70,3.098
D,290,Konaté,4.8,4.8,Liverpool,75,6.882,80,3.306,77,3.119,74,3.332,71,3.476
M,19,Martinelli,6.8,6.8,Arsenal,75,4.684,72,3.813,67,3.26,70,4.517,66,3.793
M,428,Son,11.5,11.5,Spurs,74,3.581,71,4.04,71,3.776,70,3.884,70,4.034
D,302,Stones,5.5,5.5,Man City,66,7.62,62,3.234,57,2.163,57,4.003,59,2.197
D,461,Zouma,4.4,4.4,West Ham,86,5.684,82,3.124,79,3.113,77,3.959,75,3.259
M,374,Bruno Guimarães,5.5,5.5,Newcastle,84,3.521,81,2.865,80,6.113,78,3.262,77,2.939
G,81,Raya,4.9,4.9,Brentford,89,4.548,88,3.155,88,4.23,87,3.588,87,3.17
F,66,Solanke,5.6,5.5,Bournemouth,84,3.928,82,3.642,79,3.749,79,3.487,78,3.843
M,371,Joelinton,6.0,6.0,Newcastle,76,3.931,75,2.952,71,6.35,67,2.757,66,2.552
M,603,Paquetá,5.9,5.9,West Ham,71,6.461,68,3.115,67,2.866,66,3.116,64,2.761
D,10,White,5.0,5.0,Arsenal,85,3.97,80,2.74,80,3.024,78,4.067,79,4.502
G,15,Ramsdale,4.8,4.8,Arsenal,89,3.813,88,2.976,86,3.165,86,3.823,86,4.221
M,303,Mahrez,7.3,7.3,Man City,58,7.685,57,2.916,52,2.519,51,4.444,53,2.376
D,472,Aguerd,4.8,4.8,West Ham,84,5.292,80,2.932,78,2.87,77,3.718,77,3.122
F,319,Álvarez,6.0,6.0,Man City,36,5.193,34,2.833,36,2.828,39,4.436,39,2.569
M,609,Antony,7.3,7.3,Man Utd,65,5.175,63,2.604,62,2.649,60,4.804,61,2.521
M,42,Buendía,5.7,5.7,Aston Villa,78,3.747,76,4.188,71,3.782,69,3.227,65,2.738
D,170,Mitchell,4.4,4.4,Crystal Palace,81,3.585,80,2.798,76,4.013,74,3.247,71,3.94
G,574,Neto,4.5,4.5,Bournemouth,89,3.59,88,3.549,86,3.566,87,3.093,87,3.628
D,610,Akanji,5.0,5.0,Man City,64,6.453,63,3.274,59,2.487,56,3.536,54,1.63
D,167,Guéhi,4.5,4.5,Crystal Palace,87,3.429,83,2.643,79,3.918,80,3.206,80,4.153
M,373,Willock,4.7,4.7,Newcastle,68,3.787,67,2.764,64,5.632,64,2.972,59,2.149
G,478,Sá,5.0,5.0,Wolves,89,2.95,88,3.892,87,3.106,85,4.333,86,2.971
D,16,Gabriel,5.3,5.3,Arsenal,86,3.771,81,2.54,81,2.817,79,3.845,77,4.248
D,165,Andersen,4.5,4.5,Crystal Palace,85,3.39,83,2.61,81,3.912,80,3.178,78,4.111
M,264,Barnes,6.7,6.7,Leicester,71,3.702,73,3.552,73,3.182,73,3.156,73,3.479
D,128,Thiago Silva,5.4,5.4,Chelsea,79,2.499,74,3.793,70,4.246,65,3.883,66,2.649
M,467,Rice,4.7,4.7,West Ham,86,5.442,83,2.797,79,2.807,77,3.061,78,2.892
M,493,Gibbs-White,5.5,5.5,Nott'm Forest,84,3.416,80,3.773,79,3.299,76,2.997,77,3.473
M,171,Olise,5.5,5.5,Crystal Palace,77,3.807,71,3.245,68,3.43,67,3.015,68,3.442
D,313,Zinchenko,5.2,5.2,Arsenal,77,3.914,75,2.572,74,2.846,73,3.682,70,3.909
M,407,Ward-Prowse,6.2,6.2,Southampton,70,2.827,85,3.801,84,3.764,84,3.177,82,3.245
D,272,W.Fofana,4.3,4.3,Chelsea,84,2.327,76,3.671,73,4.254,70,4.263,64,2.263
G,31,Martínez,5.0,5.0,Aston Villa,88,2.996,88,3.983,87,3.657,86,2.673,86,3.235
M,160,Zaha,7.2,7.2,Crystal Palace,18,1.354,59,2.365,81,4.373,79,4.038,79,4.401
M,680,Gakpo,7.7,7.7,Liverpool,61,5.945,60,2.634,59,2.623,58,2.552,58,2.755
M,233,Harrison,5.7,5.7,Leeds,76,4.073,75,3.041,70,3.089,70,3.414,65,2.853
M,724,Enzo,5.0,5.0,Chelsea,81,2.629,79,3.13,75,3.122,74,4.954,73,2.603
M,314,Foden,8.0,8.0,Man City,38,4.507,45,2.401,52,2.556,52,4.485,51,2.32
M,169,Eze,5.6,5.6,Crystal Palace,70,3.616,69,3.396,67,3.314,65,2.994,63,2.927
M,468,Soucek,5.0,5.0,West Ham,74,5.364,69,2.641,69,2.638,68,2.796,70,2.771
D,463,Coufal,4.0,4.0,West Ham,74,4.866,72,2.619,71,2.607,69,3.351,68,2.683
F,80,Toney,7.6,7.6,Brentford,78,5.146,68,3.791,55,2.85,41,2.346,29,1.893
D,201,Ream,4.6,4.6,Fulham,86,3.479,84,3.257,82,3.345,82,3.541,83,2.208
F,596,Ferguson,4.6,4.6,Brighton,13,2.736,36,2.374,45,4.11,42,4.373,38,2.201
M,277,Thiago,5.1,5.1,Liverpool,72,5.74,68,2.602,66,2.52,65,2.428,64,2.451
F,682,Cunha,5.3,5.3,Wolves,73,3.082,72,3.343,70,3.15,69,3.459,66,2.544
D,308,Aké,5.0,5.0,Man City,17,2.355,40,1.352,66,3.479,64,5.727,62,2.62
D,694,Álex Moreno,4.5,4.5,Aston Villa,68,2.466,76,4.086,75,3.564,75,2.433,72,2.952
F,95,Mbeumo,5.7,5.7,Brentford,75,3.359,76,3.002,72,3.101,73,3.057,74,2.85
M,70,Billing,5.2,5.2,Bournemouth,81,3.328,76,3.094,74,3.052,74,2.816,72,3.006
M,534,McNeil,5.1,5.1,Everton,76,3.182,77,2.791,76,2.699,77,3.345,74,3.214
M,300,Gündogan,7.3,7.3,Man City,53,4.498,54,2.427,52,2.251,52,4.016,51,2.038
F,191,Calvert-Lewin,7.9,7.9,Everton,72,3.506,75,2.901,75,2.902,70,3.116,70,3.186
G,182,Pickford,4.4,4.4,Everton,89,3.054,89,2.634,88,2.493,87,3.362,88,3.662
M,464,Benrahma,5.5,5.5,West Ham,59,5.052,58,2.49,56,2.413,56,2.693,57,2.51
D,457,Cresswell,4.7,4.7,West Ham,69,5.137,68,2.724,62,2.299,62,2.775,61,2.207
F,394,Johnson,5.6,5.6,Nott'm Forest,81,3.169,76,3.349,73,2.901,72,2.735,71,2.95
D,628,Aurier,4.3,4.3,Nott'm Forest,86,2.886,82,3.979,80,2.792,78,2.24,78,3.198
D,217,Robinson,4.4,4.4,Fulham,84,3.327,81,3.094,81,3.181,79,3.356,79,2.083
G,401,McCarthy,4.3,4.3,Southampton,86,2.706,83,3.403,82,3.545,82,2.65,82,2.718
M,3,Xhaka,4.8,4.8,Arsenal,75,3.282,71,2.67,69,2.654,69,3.119,70,3.212
D,258,Castagne,4.3,4.3,Leicester,86,4.076,79,3.293,76,2.303,74,2.245,69,3.018
F,103,Welbeck,6.5,6.5,Brighton,45,3.864,44,2.014,37,3.495,38,3.717,40,1.829
D,39,Mings,4.7,4.7,Aston Villa,84,2.571,81,3.818,80,3.393,79,2.227,78,2.863
M,185,A.Doucouré,5.3,5.3,Everton,75,3.218,74,2.719,71,2.564,70,3.082,70,3.195
D,215,Tete,4.4,4.4,Fulham,75,3.238,76,3.117,75,3.132,75,3.271,73,2.017
G,729,Navas,4.5,4.5,Nott'm Forest,88,2.807,88,3.582,88,2.76,87,2.549,83,3.075
F,227,Bamford,7.1,7.1,Leeds,60,2.636,70,3.175,67,2.915,65,3.053,63,2.948
D,209,Tosin,4.4,4.4,Fulham,80,3.312,79,3.038,79,3.117,76,3.243,74,1.995
M,480,Neves,5.2,5.2,Wolves,73,2.67,76,3.194,74,2.815,74,3.292,69,2.58
M,211,Reed,4.3,4.3,Fulham,72,4.845,71,2.757,67,2.47,64,2.266,65,2.142
M,46,Douglas Luiz,4.8,4.8,Aston Villa,83,2.909,77,3.328,74,3.048,70,2.539,68,2.516
M,614,Willian,5.5,5.5,Fulham,47,3.086,65,2.963,65,3.017,63,2.79,63,2.452
M,433,Højbjerg,5.4,5.4,Spurs,85,2.558,84,3.041,83,2.821,82,2.899,81,2.969
F,28,Jesus,8.1,8.1,Arsenal,67,2.891,68,2.99,66,2.593,64,3.02,63,2.758
F,411,Adams,6.0,6.0,Southampton,48,1.566,73,3.439,71,3.339,71,2.948,69,2.932
M,535,Tavernier,4.7,4.7,Bournemouth,45,1.719,61,2.32,69,3.427,69,3.096,71,3.586
G,238,Meslier,4.5,4.5,Leeds,82,3.348,85,2.205,83,2.747,81,2.892,80,2.911
D,459,Dawson,4.8,4.8,Wolves,79,2.234,81,3.312,79,2.44,78,3.965,78,2.106
M,186,Iwobi,4.9,4.9,Everton,78,3.005,79,2.704,75,2.475,74,2.893,71,2.914
D,156,Ward,4.4,4.4,Crystal Palace,70,3.083,69,2.368,65,3.005,65,2.51,64,3.009
D,526,Mee,5.1,5.1,Brentford,86,3.822,84,2.062,83,3.404,80,2.656,81,2.031
D,92,Pinnock,4.4,4.4,Brentford,85,3.768,82,2.059,80,3.337,79,2.607,80,2.023
D,199,Tarkowski,4.2,4.2,Everton,85,2.9,83,2.105,79,1.865,77,3.273,77,3.636
M,220,Palhinha,4.9,4.9,Fulham,85,4.233,83,2.5,81,2.524,77,2.48,70,2.013
D,44,Konsa,4.4,4.4,Aston Villa,79,2.329,82,3.484,79,3.098,79,2.081,80,2.708
M,37,McGinn,5.1,5.1,Aston Villa,84,2.722,79,3.085,74,2.8,71,2.433,71,2.536
D,85,Henry,4.5,4.5,Brentford,80,3.766,79,2.097,75,3.215,73,2.481,74,1.977
D,484,Kilman,4.3,4.3,Wolves,83,2.126,81,3.2,79,2.299,77,3.835,75,1.955
M,340,Sancho,7.1,7.1,Man Utd,45,3.614,43,1.895,41,1.981,40,3.88,42,2.004
D,180,Keane,4.2,4.2,Everton,81,2.823,80,2.095,76,1.805,79,3.212,75,3.415
M,88,Jensen,4.8,4.8,Brentford,74,3.163,72,2.525,69,2.813,67,2.546,67,2.222
F,345,Martial,6.3,6.3,Man Utd,47,3.633,48,1.899,49,1.999,46,3.78,44,1.96
F,288,Diogo Jota,8.9,8.9,Liverpool,52,4.599,53,2.198,51,2.169,47,2.02,51,2.256
M,259,Tielemans,6.1,6.1,Leicester,75,2.919,74,2.737,75,2.491,72,2.405,71,2.618
D,73,Kelly,4.3,4.3,Bournemouth,80,2.903,78,2.785,73,2.595,73,2.124,73,2.735
M,562,Solomon,4.9,4.9,Fulham,42,4.075,40,2.244,35,2.511,35,2.231,36,2.07
M,134,Kanté,4.8,4.8,Chelsea,67,2.38,64,2.493,61,2.309,61,3.999,59,1.904
M,304,Sterling,9.7,9.7,Chelsea,60,2.221,57,2.493,57,2.537,52,3.791,56,2.036
M,514,C.Doucouré,5.0,5.0,Crystal Palace,78,2.68,77,2.501,72,2.665,73,2.481,71,2.682
D,612,Faes,4.2,4.2,Leicester,83,3.51,79,2.75,78,1.955,75,1.927,73,2.777
D,430,Dier,5.1,5.1,Spurs,86,1.695,84,3.309,81,2.45,81,2.702,78,2.714
F,297,Darwin,8.6,8.6,Liverpool,47,4.393,44,2.112,39,2.134,40,2.071,38,2.154
M,311,Bernardo,6.7,6.7,Man City,51,3.6,51,1.845,52,1.913,55,3.613,52,1.769
M,370,S.Longstaff,4.3,4.3,Newcastle,55,1.782,67,2.446,63,4.645,57,1.893,60,1.974
D,109,Veltman,4.6,4.6,Brighton,53,3.248,59,2.394,53,2.72,51,3.011,49,1.333
M,519,Eriksen,6.2,6.2,Man Utd,48,3.343,50,1.811,52,2.029,47,3.637,47,1.882
D,404,Stephens,4.3,4.3,Bournemouth,77,2.729,78,2.631,74,2.558,75,2.075,75,2.708
D,513,Lenglet,4.8,4.8,Spurs,72,1.736,73,3.263,70,2.417,68,2.557,70,2.695
D,733,Pedro Porro,4.8,4.8,Spurs,82,2.155,79,3.849,75,2.742,61,2.262,51,1.655
M,293,Luis Díaz,7.8,7.8,Liverpool,33,4.156,37,2.063,44,2.139,43,2.046,42,2.25
D,423,Bella-Kotchap,4.5,4.5,Southampton,86,2.046,82,3.25,80,3.321,77,1.994,75,1.953
M,577,Onana,4.7,4.7,Everton,75,2.603,74,2.426,73,2.345,68,2.485,70,2.664
D,730,Felipe,4.5,4.5,Nott'm Forest,86,2.335,83,3.384,80,2.261,79,1.884,79,2.639
D,409,Walker-Peters,4.4,4.4,Southampton,83,2.064,79,3.2,80,3.301,75,1.942,75,1.973
D,309,Laporte,5.6,5.6,Man City,58,5.171,48,1.671,38,1.479,39,2.743,41,1.411
M,6,Partey,4.7,4.7,Arsenal,69,2.576,68,2.297,68,2.355,69,2.663,66,2.521
D,299,Walker,4.7,4.7,Man City,52,3.42,56,2.063,55,1.972,54,3.3,54,1.567
F,458,Antonio,7.0,7.0,West Ham,58,4.017,59,2.114,57,1.993,57,2.157,55,1.968
D,482,Semedo,5.0,5.0,Wolves,82,1.961,80,2.941,77,2.1,74,3.467,76,1.773
M,64,Lerma,4.7,4.7,Bournemouth,79,2.593,79,2.482,76,2.433,72,2.256,72,2.418
F,145,Havertz,7.4,7.4,Chelsea,24,1.5,53,2.298,55,2.383,52,4.045,50,1.943
M,245,Roca,4.8,4.8,Leeds,77,2.735,75,2.178,74,2.352,72,2.382,71,2.406
F,690,João Félix,7.3,7.3,Chelsea,56,2.034,51,2.236,49,2.184,47,3.722,47,1.822
D,57,Smith,4.3,4.3,Bournemouth,79,2.62,77,2.486,74,2.427,72,1.899,72,2.495
D,443,Romero,4.9,4.9,Spurs,85,1.522,80,3.094,80,2.254,79,2.495,79,2.527
M,369,Almirón,5.4,5.4,Newcastle,52,1.947,58,1.97,56,3.923,55,2.063,54,1.839
D,410,Bednarek,4.2,4.2,Southampton,83,1.914,80,3.051,75,3.049,71,1.811,72,1.839
M,589,Matheus,4.8,4.8,Wolves,67,2.226,69,2.605,67,2.29,65,2.533,62,1.907
D,507,Niakhaté,4.3,4.3,Nott'm Forest,39,1.162,81,3.382,82,2.28,77,1.891,77,2.639
