Pos,ID,Name,BV,SV,Team,38_xMins,38_Pts
G,152,Guaita,4.4,4.4,Crystal Palace,8,0.306
F,711,Durán,5.5,5.5,Aston Villa,7,0.301
D,112,Cucurella,4.9,4.9,Chelsea,7,0.299
M,252,Mendy,4.2,4.2,Leicester,7,0.291
M,503,Moutinho,4.6,4.6,Wolves,6,0.268
D,689,Badiashile,5.0,5.0,Chelsea,6,0.259
D,343,B.Williams,3.7,3.7,Man Utd,5,0.242
D,555,Ashby,3.8,3.8,Newcastle,6,0.241
M,190,Davies,4.9,4.9,Everton,3,0.222
G,497,Adrián,3.8,3.8,Liverpool,5,0.219
G,422,Bazunu,4.4,4.4,Southampton,6,0.201
M,665,Doak,4.5,4.5,Liverpool,3,0.185
G,238,Meslier,4.4,4.4,Leeds,5,0.185
M,161,Schlupp,4.7,4.7,Crystal Palace,2,0.182
D,379,Cook,4.3,4.3,Nott'm Forest,4,0.178
D,613,Kurzawa,4.3,4.3,Fulham,4,0.176
D,477,Jonny,4.3,4.3,Wolves,4,0.171
G,517,Strakosha,4.3,4.3,Brentford,5,0.164
G,473,Areola,4.3,4.3,West Ham,4,0.131
G,213,Rodák,4.3,4.3,Fulham,4,0.125
D,76,Zemura,4.2,4.2,Bournemouth,2,0.112
M,527,Lingard,5.4,5.4,Nott'm Forest,2,0.102
M,349,Shelvey,4.8,4.8,Nott'm Forest,2,0.101
D,372,Lewis,4.4,4.4,Newcastle,3,0.1
M,630,Nwaneri,4.5,4.5,Arsenal,1,0.088
M,381,Colback,4.1,4.1,Nott'm Forest,2,0.084
D,487,Aït-Nouri,4.1,4.1,Wolves,2,0.067
M,629,Traoré,4.3,4.3,Wolves,2,0.066
G,35,Olsen,3.9,3.9,Aston Villa,2,0.064
G,162,Butland,4.4,4.4,Man Utd,1,0.063
F,659,Mateo Joseph,4.5,4.5,Leeds,2,0.062
G,176,Begović,3.8,3.8,Everton,1,0.053
G,72,Travers,4.1,4.1,Bournemouth,1,0.053
M,305,Grealish,7.1,7.1,Man City,16,0.048
D,312,Dias,6.0,6.0,Man City,19,0.038
G,324,Ortega,3.7,3.7,Man City,31,0.03
M,764,Craig,4.5,4.5,Spurs,1,0.0
G,756,McGill,4.0,4.0,Brighton,2,0.0
G,571,Randolph,4.0,4.0,Bournemouth,0,0.0
M,758,Abbott,4.5,4.5,Spurs,0,0.0
F,597,Saydee,4.5,4.5,Bournemouth,0,0.0
D,598,Bevan,4.0,4.0,Bournemouth,0,0.0
F,10263,Mason Greenwood,99.9,99.9,Man Utd,0,0.0
M,599,Gomes,4.5,4.5,Man City,0,0.0
D,757,Samuels-Smith,4.0,4.0,Everton,7,0.0
M,600,Knight,4.5,4.5,Man City,2,0.0
G,675,Smith,4.0,4.0,Nott'm Forest,0,0.0
G,10264,Jed Steer,99.9,99.9,Aston Villa,0,0.0
M,601,Rodney,4.5,4.5,Crystal Palace,5,0.0
M,568,Campbell,4.4,4.4,Wolves,0,0.0
D,673,Humphreys,4.5,4.5,Chelsea,0,0.0
M,10249,Matty Longstaff,99.9,99.9,Newcastle,32,0.0
M,567,Ronan,4.4,4.4,Wolves,0,0.0
M,755,Patterson,4.5,4.5,Aston Villa,2,0.0
M,566,Hodge,4.3,4.3,Wolves,0,0.0
D,754,Revan,4.0,4.0,Aston Villa,6,0.0
M,678,Price,4.5,4.5,Everton,0,0.0
G,753,Wright,4.0,4.0,Aston Villa,0,0.0
M,565,Gray,4.5,4.5,Leeds,0,0.0
M,752,Olakigbe,4.5,4.5,Brentford,2,0.0
M,564,Bajcetic,4.3,4.3,Liverpool,0,0.0
D,563,Chambers,4.0,4.0,Liverpool,0,0.0
G,10351,Gabriel Slonina,99.9,99.9,Chelsea,0,0.0
F,671,Morgan,4.5,4.5,Southampton,0,0.0
M,572,Oko-Flex,4.4,4.4,West Ham,0,0.0
D,10241,Benjamin Mendy,99.9,99.9,Man City,3,0.0
D,765,Samuels,4.0,4.0,Brighton,4,0.0
F,770,Ballard,4.5,4.5,Southampton,0,0.0
M,763,Dibley-Dias,4.5,4.5,Fulham,0,0.0
D,766,Adaramola,4.0,4.0,Crystal Palace,2,0.0
M,762,Peupion,4.5,4.5,Brighton,14,0.0
D,751,Walters,4.0,4.0,Arsenal,4,0.0
M,672,Kadan Young,4.5,4.5,Aston Villa,2,0.0
G,590,Whitworth,4.0,4.0,Crystal Palace,0,0.0
M,767,Bandeira,4.5,4.5,Arsenal,0,0.0
M,761,O'Reilly,4.5,4.5,Aston Villa,1,0.0
F,591,Ablade,4.5,4.5,Fulham,0,0.0
M,768,McAllister,4.5,4.5,Everton,0,0.0
M,584,Clark,4.5,4.5,Liverpool,0,0.0
M,769,Doyle,4.5,4.5,Southampton,0,0.0
G,771,Wady,4.0,4.0,Chelsea,0,0.0
D,759,Jurado,4.0,4.0,Man Utd,2,0.0
M,676,Ozoh,4.5,4.5,Crystal Palace,5,0.0
G,581,Smithies,3.9,3.9,Leicester,2,0.0
G,760,Lonergan,4.0,4.0,Everton,0,0.0
M,561,Warrington,4.4,4.4,Everton,0,0.0
M,579,Guedes,5.8,5.8,Wolves,0,0.0
M,772,Robertson,4.5,4.5,Man City,9,0.0
G,592,H.Davies,4.0,4.0,Liverpool,0,0.0
M,773,Charles,4.5,4.5,Man City,10,0.0
M,774,O'Reilly,4.5,4.5,Man City,10,0.0
G,10023,Alfie Whiteman,99.9,99.9,Spurs,0,0.0
G,10104,Mark Gillespie,99.9,99.9,Newcastle,0,0.0
D,10201,Teden Mengi,99.9,99.9,Man Utd,2,0.0
M,677,Hinshelwood,4.5,4.5,Brighton,0,0.0
F,662,Cannon,4.5,4.5,Everton,0,0.0
D,750,C.Robinson,4.0,4.0,Fulham,0,0.0
M,648,Finnigan,4.5,4.5,Southampton,0,0.0
M,647,Payne,4.5,4.5,Southampton,0,0.0
D,646,Crama,4.0,4.0,Brentford,2,0.0
D,645,Wormleighton,4.0,4.0,Leicester,0,0.0
G,644,Goodman,4.0,4.0,Crystal Palace,0,0.0
M,643,Mainoo,4.5,4.5,Man Utd,1,0.0
D,642,Balmer,4.0,4.0,Crystal Palace,1,0.0
M,641,Godo,4.5,4.5,Fulham,0,0.0
D,640,Turns,4.0,4.0,Brighton,0,0.0
M,639,Braybrooke,4.5,4.5,Leicester,0,0.0
M,712,Perrone,4.4,4.4,Man City,8,0.0
D,638,Bogarde,4.0,4.0,Aston Villa,0,0.0
D,637,John,3.9,3.9,Everton,6,0.0
D,636,Parkes,4.0,4.0,Fulham,0,0.0
F,714,Semenyo,5.0,5.0,Bournemouth,0,0.0
G,635,Bettinelli,4.0,4.0,Chelsea,0,0.0
F,634,Gordon,4.5,4.5,Crystal Palace,0,0.0
D,716,Bree,4.5,4.5,Southampton,24,0.0
F,685,Butler-Oyedeji,4.5,4.5,Arsenal,0,0.0
G,649,Plain,4.0,4.0,Bournemouth,0,0.0
G,749,G.Shelvey,4.0,4.0,Nott'm Forest,1,0.0
M,687,McAteer,4.5,4.5,Leicester,0,0.0
D,694,Álex Moreno,4.5,4.5,Aston Villa,0,0.0
F,660,Shoretire,4.5,4.5,Man Utd,0,0.0
M,658,Griffiths,4.4,4.4,Wolves,0,0.0
F,657,Fraser,4.5,4.5,Wolves,0,0.0
G,656,Bishop,4.0,4.0,Man Utd,0,0.0
G,655,Hein,3.9,3.9,Arsenal,0,0.0
M,654,Wells-Morrison,4.5,4.5,Crystal Palace,5,0.0
F,695,Adu-Adjei,4.5,4.5,Bournemouth,0,0.0
M,696,Dacosta Gonzalez,4.4,4.4,Bournemouth,1,0.0
F,697,Sadi,4.5,4.5,Bournemouth,0,0.0
M,653,Hutchinson,4.2,4.2,Chelsea,0,0.0
D,652,Furlong,4.0,4.0,Brighton,0,0.0
M,650,Yarmolyuk,4.5,4.5,Brentford,1,0.0
M,702,Andrey Santos,4.5,4.5,Chelsea,0,0.0
F,663,Perkins,4.5,4.5,Leeds,0,0.0
F,706,Pollock,4.5,4.5,Bournemouth,0,0.0
G,707,Sinisalo,4.0,4.0,Aston Villa,0,0.0
G,633,Cox,3.9,3.9,Brentford,0,0.0
M,632,Trevitt,4.4,4.4,Brentford,2,0.0
G,717,Bentley,4.0,4.0,Wolves,44,0.0
M,719,Ayari,4.5,4.5,Brighton,19,0.0
F,608,Kalajdžić,5.3,5.3,Wolves,0,0.0
M,607,Smith,4.4,4.4,Arsenal,0,0.0
M,606,Vale,4.5,4.5,Chelsea,0,0.0
D,737,Greenwood,4.0,4.0,Bournemouth,0,0.0
D,738,Kinsey-Wellings,4.0,4.0,Bournemouth,0,0.0
G,739,Anang,4.0,4.0,West Ham,0,0.0
G,740,Hegyi,3.9,3.9,West Ham,0,0.0
M,741,Miley,4.5,4.5,Newcastle,5,0.0
D,742,Chilokoa-Mullen,4.0,4.0,Leeds,1,0.0
D,743,Monteiro,4.0,4.0,Leeds,1,0.0
D,605,Welch,4.0,4.0,Everton,6,0.0
D,744,Swinkels,4.0,4.0,Aston Villa,6,0.0
M,604,Phillips,4.5,4.5,Crystal Palace,0,0.0
G,745,Zych,4.0,4.0,Aston Villa,0,0.0
D,746,Casey,4.0,4.0,West Ham,0,0.0
G,747,Wickens,4.0,4.0,Fulham,0,0.0
M,748,Mundle,4.5,4.5,Spurs,0,0.0
D,736,Offiah,4.0,4.0,Brighton,3,0.0
G,670,Marschall,4.0,4.0,Aston Villa,0,0.0
M,735,Marçal-Madivadua,4.5,4.5,Leicester,0,0.0
D,622,Larios,4.0,4.0,Southampton,0,0.0
D,631,Sousa,4.0,4.0,Arsenal,3,0.0
D,722,Zabarnyi,4.5,4.5,Bournemouth,60,0.0
D,664,Lembikisa,4.0,4.0,Wolves,0,0.0
F,684,D.D.Fofana,5.0,5.0,Chelsea,11,0.0
G,627,Jakupović,4.0,4.0,Everton,0,0.0
M,683,Kuol,4.5,4.5,Newcastle,0,0.0
M,624,Edozie,4.6,4.6,Southampton,4,0.0
D,621,Badé,4.5,4.5,Nott'm Forest,0,0.0
F,669,Mubama,4.5,4.5,West Ham,0,0.0
F,666,Dale Taylor,4.5,4.5,Nott'm Forest,0,0.0
D,674,Bennett,4.0,4.0,Man Utd,1,0.0
G,729,Navas,4.5,4.5,Nott'm Forest,0,0.0
M,667,Sekularac,4.5,4.5,Fulham,0,0.0
G,615,Kovár,4.0,4.0,Man Utd,0,0.0
M,668,Cozier-Duberry,4.5,4.5,Arsenal,0,0.0
M,681,Scarpa,4.6,4.6,Nott'm Forest,0,0.0
M,728,Sabitzer,4.7,4.7,Man Utd,0,0.0
D,393,Mbe Soh,4.2,4.2,Nott'm Forest,0,0.0
M,560,Mills,4.3,4.3,Everton,4,0.0
M,187,Gbamin,4.5,4.5,Everton,0,0.0
D,208,Kongolo,3.9,3.9,Fulham,0,0.0
G,207,Gazzaniga,4.0,4.0,Fulham,0,0.0
D,206,Bryan,4.4,4.4,Fulham,0,0.0
M,203,Chalobah,4.4,4.4,Fulham,0,0.0
M,202,Knockaert,4.7,4.7,Fulham,0,0.0
D,201,Ream,4.5,4.5,Fulham,0,0.0
D,198,Nkounkou,4.0,4.0,Everton,0,0.0
D,197,Patterson,3.9,3.9,Everton,0,0.0
D,196,Branthwaite,4.0,4.0,Everton,0,0.0
D,193,Godfrey,4.3,4.3,Everton,0,0.0
F,191,Calvert-Lewin,7.9,7.9,Everton,0,0.0
M,184,André Gomes,4.5,4.5,Everton,0,0.0
M,216,Onomah,4.3,4.3,Fulham,0,0.0
M,183,Allan,4.8,4.8,Everton,0,0.0
M,181,Dele,5.3,5.3,Everton,0,0.0
M,179,Townsend,5.4,5.4,Everton,0,0.0
D,178,Coleman,4.1,4.1,Everton,0,0.0
F,177,Rondón,4.9,4.9,Everton,0,0.0
D,174,Ferguson,3.9,3.9,Crystal Palace,0,0.0
M,173,Ebiowei,4.2,4.2,Crystal Palace,0,0.0
M,172,Rak-Sakyi,4.5,4.5,Crystal Palace,0,0.0
M,160,Zaha,7.2,7.2,Crystal Palace,0,0.0
M,158,Milivojevic,4.2,4.2,Crystal Palace,0,0.0
F,155,Benteke,5.5,5.5,Crystal Palace,0,0.0
M,214,Cavaleiro,4.8,4.8,Fulham,0,0.0
F,218,Muniz,5.4,5.4,Fulham,0,0.0
D,151,Ampadu,4.4,4.4,Chelsea,0,0.0
D,250,Bertrand,3.9,3.9,Leicester,0,0.0
M,287,Keita,4.7,4.7,Liverpool,0,0.0
G,281,Alisson,5.5,5.5,Liverpool,0,0.0
M,277,Thiago,5.1,5.1,Liverpool,0,0.0
D,273,Brunt,3.9,3.9,Leicester,0,0.0
D,268,Justin,4.1,4.1,Leicester,0,0.0
D,267,Söyüncü,4.2,4.2,Leicester,0,0.0
M,263,Choudhury,4.5,4.5,Leicester,0,0.0
M,260,Pérez,4.7,4.7,Leicester,0,0.0
G,254,Ward,3.8,3.8,Leicester,0,0.0
D,253,Vestergaard,3.8,3.8,Leicester,0,0.0
M,251,Albrighton,4.7,4.7,Leicester,0,0.0
G,248,Schmeichel,5.0,5.0,Leicester,0,0.0
F,219,Stansfield,4.5,4.5,Fulham,0,0.0
M,247,Gyabi,4.2,4.2,Leeds,0,0.0
D,243,Hjelde,3.9,3.9,Leeds,0,0.0
F,242,Gelhardt,5.1,5.1,Leeds,0,0.0
M,241,Bate,4.5,4.5,Leeds,0,0.0
G,236,Klaesson,3.8,3.8,Leeds,0,0.0
M,234,Shackleton,4.5,4.5,Leeds,0,0.0
M,232,Raphinha,7.0,7.0,Leeds,0,0.0
M,229,Roberts,5.0,5.0,Leeds,0,0.0
D,228,Llorente,4.4,4.4,Leeds,0,0.0
D,226,Dallas,4.9,4.9,Leeds,0,0.0
M,223,Klich,4.6,4.6,Leeds,0,0.0
D,153,Tomkins,3.9,3.9,Crystal Palace,0,0.0
F,150,Broja,5.2,5.2,Chelsea,0,0.0
D,558,Bueno,3.8,3.8,Wolves,41,0.0
D,38,Hause,4.4,4.4,Aston Villa,0,0.0
M,63,Marcondes,4.7,4.7,Bournemouth,0,0.0
M,61,Lowe,5.2,5.2,Bournemouth,0,0.0
D,59,Fredericks,4.4,4.4,Bournemouth,0,0.0
M,58,Stanislas,4.8,4.8,Bournemouth,0,0.0
D,56,Guilbert,3.9,3.9,Aston Villa,0,0.0
M,55,Philogene-Bidace,4.5,4.5,Aston Villa,0,0.0
F,54,Archer,4.2,4.2,Aston Villa,0,0.0
F,52,Davis,5.4,5.4,Aston Villa,0,0.0
M,51,El Ghazi,4.8,4.8,Aston Villa,0,0.0
M,49,Iroegbunam,4.5,4.5,Aston Villa,0,0.0
M,41,Nakamba,4.3,4.3,Aston Villa,0,0.0
M,36,Sanson,4.3,4.3,Aston Villa,0,0.0
M,74,Dembélé,4.7,4.7,Bournemouth,0,0.0
M,29,Coutinho,6.6,6.6,Aston Villa,0,0.0
M,27,Marquinhos,4.6,4.6,Arsenal,0,0.0
D,26,Saliba,4.9,4.9,Arsenal,0,0.0
G,24,Turner,3.8,3.8,Arsenal,2,0.0
M,22,Torreira,4.5,4.5,Arsenal,0,0.0
D,20,Pablo Marí,4.5,4.5,Arsenal,0,0.0
M,19,Martinelli,6.5,6.5,Arsenal,0,0.0
D,17,Tavares,4.5,4.5,Arsenal,0,0.0
D,14,Tomiyasu,4.2,4.2,Arsenal,0,0.0
M,9,Pépé,5.3,5.3,Arsenal,0,0.0
M,4,Elneny,4.1,4.1,Arsenal,0,0.0
M,68,Pearson,4.4,4.4,Bournemouth,0,0.0
G,77,Dennis,3.9,3.9,Bournemouth,0,0.0
M,144,Hudson-Odoi,5.3,5.3,Chelsea,0,0.0
M,115,Alzate,4.4,4.4,Brighton,0,0.0
D,143,Sarr,5.0,5.0,Chelsea,0,0.0
D,138,Kenedy,3.9,3.9,Chelsea,0,0.0
F,137,Werner,7.9,7.9,Chelsea,0,0.0
M,131,Barkley,4.9,4.9,Chelsea,0,0.0
D,129,Alonso,5.3,5.3,Chelsea,0,0.0
M,126,Kozłowski,4.5,4.5,Brighton,0,0.0
D,122,Roberts,4.0,4.0,Brighton,0,0.0
M,121,Richards,4.5,4.5,Brighton,0,0.0
M,119,Sarmiento,4.5,4.5,Brighton,0,0.0
M,118,Mwepu,5.3,5.3,Brighton,0,0.0
M,117,Moder,4.4,4.4,Brighton,0,0.0
D,114,Lamptey,4.2,4.2,Brighton,0,0.0
D,78,Jansson,4.2,4.2,Brentford,0,0.0
G,113,Sánchez,4.4,4.4,Brighton,0,0.0
M,101,Lallana,4.8,4.8,Brighton,0,0.0
G,100,Balcombe,4.0,4.0,Brentford,0,0.0
M,99,Bidstrup,4.5,4.5,Brentford,0,0.0
D,98,Thompson,4.0,4.0,Brentford,0,0.0
F,97,Forss,4.5,4.5,Brentford,0,0.0
D,96,Goode,3.9,3.9,Brentford,0,0.0
D,91,Bech,4.5,4.5,Brentford,0,0.0
D,82,Canós,5.0,5.0,Brentford,0,0.0
F,80,Toney,7.1,7.1,Brentford,0,0.0
M,79,Nørgaard,5.3,5.3,Brentford,0,0.0
D,295,N.Williams,3.8,3.8,Nott'm Forest,0,0.0
D,298,Ramsay,3.9,3.9,Liverpool,0,0.0
D,306,Cancelo,7.1,7.1,Man City,0,0.0
F,476,Jiménez,6.5,6.5,Wolves,0,0.0
G,502,Carson,3.8,3.8,Man City,0,0.0
D,500,Van den Berg,4.0,4.0,Liverpool,0,0.0
D,499,Davies,4.0,4.0,Liverpool,0,0.0
D,498,R.Williams,4.0,4.0,Liverpool,0,0.0
F,496,Plange,4.5,4.5,Crystal Palace,0,0.0
G,495,Matthews,4.0,4.0,Crystal Palace,0,0.0
D,494,Mosquera,3.9,3.9,Wolves,0,0.0
G,492,Šarkić,3.9,3.9,Wolves,0,0.0
M,490,Chiquinho,5.0,5.0,Wolves,0,0.0
F,488,Fabio Silva,5.5,5.5,Wolves,0,0.0
M,485,Cundle,4.4,4.4,Wolves,0,0.0
M,466,Vlasic,5.0,5.0,West Ham,0,0.0
M,508,Sinisterra,6.5,6.5,Leeds,0,0.0
D,462,Masuaku,4.5,4.5,West Ham,0,0.0
F,453,Parrott,4.5,4.5,Spurs,0,0.0
M,452,Devine,4.3,4.3,Spurs,0,0.0
G,451,Austin,3.9,3.9,Spurs,4,0.0
M,449,White,4.4,4.4,Spurs,0,0.0
F,447,Scarlett,4.5,4.5,Spurs,0,0.0
D,443,Romero,4.9,4.9,Spurs,0,0.0
D,442,Rodon,4.0,4.0,Spurs,0,0.0
M,440,Bentancur,5.3,5.3,Spurs,0,0.0
D,438,Reguilón,4.2,4.2,Spurs,0,0.0
M,437,Bergwijn,5.5,5.5,Spurs,0,0.0
M,506,Adams,4.9,4.9,Leeds,0,0.0
D,511,Richards,4.4,4.4,Nott'm Forest,0,0.0
G,310,Steffen,4.0,4.0,Man City,0,0.0
F,541,Dervişoğlu,4.5,4.5,Brentford,0,0.0
G,557,Smith,3.9,3.9,Wolves,0,0.0
M,556,Coventry,4.4,4.4,West Ham,0,0.0
M,554,Bryan,5.0,5.0,Spurs,0,0.0
M,553,Hammond,4.2,4.2,Nott'm Forest,0,0.0
M,551,Iqbal,4.2,4.2,Man Utd,1,0.0
M,550,Amad,4.4,4.4,Man Utd,0,0.0
G,548,Iversen,3.9,3.9,Leicester,88,0.0
D,547,Drameh,4.0,4.0,Leeds,0,0.0
M,546,Harris,4.3,4.3,Fulham,0,0.0
D,543,Clarke,4.0,4.0,Brighton,0,0.0
G,542,Scherpen,4.0,4.0,Brighton,0,0.0
D,540,Stevens,4.0,4.0,Brentford,0,0.0
M,515,Lewis-Potter,5.2,5.2,Brentford,0,0.0
D,539,Hill,4.4,4.4,Bournemouth,0,0.0
D,537,Kesler Hayden,4.0,4.0,Aston Villa,0,0.0
M,535,Tavernier,4.7,4.7,Bournemouth,0,0.0
D,533,Martínez,4.4,4.4,Man Utd,0,0.0
D,532,Mbabu,4.3,4.3,Fulham,0,0.0
D,531,Vinagre,4.3,4.3,Everton,0,0.0
F,529,Scamacca,6.6,6.6,West Ham,0,0.0
D,525,Augustinsson,4.3,4.3,Aston Villa,0,0.0
M,524,O'Brien,4.7,4.7,Nott'm Forest,0,0.0
D,522,Spence,4.1,4.1,Spurs,0,0.0
M,521,Francois,4.4,4.4,Fulham,0,0.0
D,436,R.Sessegnon,4.4,4.4,Spurs,0,0.0
M,434,Winks,4.4,4.4,Spurs,0,0.0
D,430,Dier,5.0,5.0,Spurs,0,0.0
D,350,Ritchie,4.2,4.2,Newcastle,0,0.0
M,375,Hendrick,4.5,4.5,Newcastle,0,0.0
M,373,Willock,4.7,4.7,Newcastle,0,0.0
M,371,Joelinton,6.0,6.0,Newcastle,0,0.0
D,364,Krafth,4.3,4.3,Newcastle,0,0.0
D,363,Manquillo,4.2,4.2,Newcastle,0,0.0
F,361,Gayle,4.5,4.5,Newcastle,0,0.0
D,360,Lascelles,4.3,4.3,Newcastle,0,0.0
F,354,Wood,5.6,5.6,Nott'm Forest,0,0.0
G,353,Darlow,3.9,3.9,Newcastle,0,0.0
D,352,Clark,4.5,4.5,Newcastle,0,0.0
D,351,Fernández,4.4,4.4,Newcastle,0,0.0
G,348,Heaton,3.8,3.8,Man Utd,0,0.0
D,429,Doherty,4.6,4.6,Spurs,0,0.0
M,346,Andreas,4.3,4.3,Fulham,0,0.0
D,339,Bailly,4.0,4.0,Man Utd,0,0.0
M,336,Van de Beek,5.1,5.1,Man Utd,0,0.0
D,334,Telles,5.0,5.0,Man Utd,0,0.0
D,328,Jones,3.8,3.8,Man Utd,0,0.0
F,326,Ronaldo,10.2,10.2,Man Utd,0,0.0
F,323,Delap,4.4,4.4,Man City,0,0.0
D,322,Wilson-Esbrand,3.8,3.8,Man City,0,0.0
D,320,Mbete,3.9,3.9,Man City,0,0.0
M,317,McAtee,4.5,4.5,Man City,0,0.0
D,313,Zinchenko,5.0,5.0,Arsenal,0,0.0
G,376,Pope,5.4,5.4,Newcastle,0,0.0
M,378,Arter,4.1,4.1,Nott'm Forest,0,0.0
F,380,Lyle Taylor,4.1,4.1,Nott'm Forest,0,0.0
G,382,Samba,4.5,4.5,Nott'm Forest,0,0.0
G,425,Lloris,5.4,5.4,Spurs,0,0.0
G,424,Caballero,3.8,3.8,Southampton,0,0.0
D,423,Bella-Kotchap,4.5,4.5,Southampton,0,0.0
G,421,Lis,4.0,4.0,Southampton,0,0.0
D,420,Salisu,4.2,4.2,Southampton,0,0.0
D,417,Perraud,4.0,4.0,Southampton,0,0.0
M,415,Smallbone,4.5,4.5,Southampton,0,0.0
D,414,Valery,4.0,4.0,Southampton,0,0.0
M,412,Tella,5.0,5.0,Southampton,0,0.0
F,411,Adams,6.0,6.0,Southampton,0,0.0
M,403,Redmond,5.3,5.3,Southampton,0,0.0
M,402,Romeu,4.8,4.8,Southampton,0,0.0
D,399,Biancone,4.2,4.2,Nott'm Forest,0,0.0
G,398,Henderson,4.6,4.6,Nott'm Forest,0,0.0
M,396,Ojeda,4.5,4.5,Nott'm Forest,0,0.0
M,395,Mighten,4.9,4.9,Nott'm Forest,0,0.0
D,392,Laryea,4.5,4.5,Nott'm Forest,0,0.0
M,390,Xande Silva,5.0,5.0,Nott'm Forest,0,0.0
D,389,Panzo,4.0,4.0,Nott'm Forest,0,0.0
D,386,Dräger,4.0,4.0,Nott'm Forest,0,0.0
D,385,McKenna,4.4,4.4,Nott'm Forest,0,0.0
M,384,Lolley,4.9,4.9,Nott'm Forest,0,0.0
M,383,Cafú,4.2,4.2,Nott'm Forest,0,0.0
G,10359,Louie Moulden,99.9,99.9,Wolves,0,0.0
M,225,Rodrigo,6.3,6.3,Leeds,52,
F,227,Bamford,7.1,7.1,Leeds,28,
