ID,Name,Pos,Team,Price,38_fix,38_xmins,38_pts,38_g,38_a,38_cs,38_bon,38_dmins,38_likelihood
1,Cédric,2,FUL,42,(A): MUN,20.66,0.568,0.005,0.023,0.016,0.014,20.66,1
2,Leno,1,FUL,46,(A): MUN,86.15,3.033,0,0.001,0.087,0.255,86.15,1
3,Xhaka,3,ARS,48,(H): WOL,78.93,3.403,0.15,0.164,0.343,0.254,78.93,1
4,Elneny,3,ARS,41,(H): WOL,0,0,0,0,0,0,0,1
5,Holding,2,ARS,42,(H): WOL,18.21,0.816,0.016,0.006,0.061,0.064,18.21,1
6,Partey,3,ARS,47,(H): WOL,47.94,1.885,0.061,0.063,0.195,0.1,47.94,1
7,Ødegaard,3,ARS,69,(H): WOL,81.02,5.13,0.299,0.341,0.351,0.545,81.02,1
8,Tierney,2,ARS,46,(H): WOL,74.02,3.751,0.038,0.151,0.329,0.327,74.02,1
9,Pépé,3,ARS,53,,0,0,0,0,0,0,,
10,White,2,ARS,50,(H): WOL,85.78,3.739,0.033,0.084,0.367,0.321,85.78,1
11,Nketiah,4,ARS,63,(H): WOL,29.15,2.004,0.189,0.08,0,0.254,29.15,1
12,Smith Rowe,3,ARS,56,(H): WOL,16.84,1.228,0.055,0.062,0.027,0.103,16.84,1
13,Saka,3,ARS,80,(H): WOL,75.18,5.843,0.479,0.324,0.328,0.632,75.18,1
14,Tomiyasu,2,ARS,42,(H): WOL,0,0,0,0,0,0,0,1
15,Ramsdale,1,ARS,48,(H): WOL,87.43,3.78,0,0.002,0.369,0.236,87.43,1
16,Gabriel,2,ARS,52,(H): WOL,85.85,4.117,0.107,0.056,0.364,0.347,85.85,1
17,Tavares,2,ARS,45,,0,0,0,0,0,0,,
18,Sambi,3,CRY,43,(H): NFO,38.78,1.592,0.036,0.039,0.124,0.086,38.78,1
19,Martinelli,3,ARS,65,(H): WOL,0,0,0,0,0,0,0,1
20,Pablo Marí,2,ARS,45,,0,0,0,0,0,0,,
21,Maitland-Niles,3,SOU,48,(H): LIV,51.2,1.419,0.013,0.038,0.039,0.049,51.2,1
22,Torreira,3,ARS,45,,0,0,0,0,0,0,,
23,Nelson,3,ARS,47,(H): WOL,9.49,0.682,0.031,0.034,0.004,0.051,9.49,1
24,Turner,1,ARS,38,(H): WOL,2.39,0.105,0,0,0.01,0.007,2.39,1
25,Fábio Vieira,3,ARS,56,(H): WOL,20.4,1.361,0.064,0.065,0.04,0.107,20.4,1
26,Saliba,2,ARS,49,(H): WOL,0,0,0,0,0,0,0,1
27,Marquinhos,3,ARS,46,,0,0,0,0,0,0,,
28,Jesus,4,ARS,81,(H): WOL,76.6,5.425,0.523,0.306,0,0.774,76.6,1
29,Coutinho,3,AVL,66,(H): BHA,0,0,0,0,0,0,0,1
30,Ings,4,WHU,63,(A): LEI,58.18,3.179,0.242,0.105,0,0.407,58.18,1
31,Martínez,1,AVL,50,(H): BHA,87.98,3.4,0,0.004,0.211,0.327,87.98,1
32,Chambers,2,AVL,42,(H): BHA,16.58,0.586,0.013,0.013,0.031,0.036,16.58,1
33,Digne,2,AVL,45,(H): BHA,60.22,2.684,0.036,0.15,0.175,0.156,60.22,1
34,Traoré,3,AVL,49,(H): BHA,17.69,1.212,0.061,0.043,0.02,0.095,17.69,1
35,Olsen,1,AVL,39,(H): BHA,1.77,0.068,0,0,0.004,0.005,1.77,1
36,Sanson,3,AVL,43,,0,0,0,0,0,0,,
37,McGinn,3,AVL,51,(H): BHA,70.85,2.908,0.117,0.157,0.178,0.179,70.85,1
38,Hause,2,AVL,44,,0,0,0,0,0,0,,
39,Mings,2,AVL,47,(H): BHA,73.32,2.308,0.039,0.039,0.177,0.159,73.32,1
40,Watkins,4,AVL,73,(H): BHA,79.95,5.175,0.532,0.187,0,0.838,79.95,1
41,Nakamba,3,AVL,43,,0,0,0,0,0,0,,
42,Buendía,3,AVL,57,(H): BHA,62.7,3.844,0.24,0.196,0.185,0.332,62.7,1
43,Cash,2,AVL,46,(H): BHA,51.07,1.862,0.035,0.065,0.123,0.116,51.07,1
44,Konsa,2,AVL,44,(H): BHA,69.14,2.147,0.033,0.024,0.166,0.142,69.14,1
45,Bailey,3,AVL,43,(H): BHA,56.76,3.443,0.209,0.177,0.161,0.25,56.76,1
46,Douglas Luiz,3,AVL,48,(H): BHA,68.39,2.532,0.077,0.124,0.171,0.182,68.39,1
47,Ramsey,3,AVL,51,(H): BHA,62.32,3.198,0.17,0.143,0.162,0.289,62.32,1
48,Chukwuemeka,3,CHE,42,(H): NEW,7.95,0.44,0.009,0.009,0.004,0.014,7.95,1
49,Iroegbunam,3,AVL,45,,0,0,0,0,0,0,,
50,Diego Carlos,2,AVL,47,(H): BHA,41.17,1.405,0.034,0.018,0.098,0.081,41.17,1
51,El Ghazi,3,AVL,48,,0,0,0,0,0,0,,
52,Davis,4,AVL,54,,0,0,0,0,0,0,,
53,Kamara,3,AVL,48,(H): BHA,63.31,1.972,0.031,0.051,0.166,0.083,63.31,1
54,Archer,4,AVL,42,,0,0,0,0,0,0,,
55,Philogene-Bidace,3,AVL,45,,0,0,0,0,0,0,,
56,Guilbert,2,AVL,39,,0,0,0,0,0,0,,
57,Smith,2,BOU,43,(A): EVE,71.92,1.586,0.014,0.044,0.103,0.039,71.92,1
58,Stanislas,3,BOU,48,(A): EVE,0,0,0,0,0,0,0,1
59,Fredericks,2,BOU,44,(A): EVE,0,0,0,0,0,0,0,1
60,Brooks,3,BOU,53,(A): EVE,13.07,0.701,0.022,0.023,0.003,0.03,13.07,1
61,Lowe,3,BOU,52,,0,0,0,0,0,0,,
62,Moore,4,BOU,49,(A): EVE,10.97,0.564,0.029,0.013,0,0.04,10.97,1
63,Marcondes,3,BOU,47,,0,0,0,0,0,0,,
64,Lerma,3,BOU,47,(A): EVE,77.09,2.181,0.053,0.057,0.107,0.1,77.09,1
65,Stacey,2,BOU,42,(A): EVE,18.53,0.543,0.005,0.014,0.017,0.016,18.53,1
66,Solanke,4,BOU,55,(A): EVE,82.06,3.721,0.32,0.115,0,0.379,82.06,1
67,Cook,3,BOU,49,(A): EVE,30.51,1.04,0.009,0.022,0.034,0.04,30.51,1
68,Pearson,3,BOU,44,,0,0,0,0,0,0,,
69,Christie,3,BOU,53,(A): EVE,62.15,2.447,0.087,0.09,0.106,0.094,62.15,1
70,Billing,3,BOU,50,(A): EVE,59.17,2.218,0.096,0.066,0.095,0.11,59.17,1
71,Mepham,2,BOU,43,(A): EVE,39.41,0.806,0.011,0.008,0.05,0.025,39.41,1
72,Travers,1,BOU,41,(A): EVE,1.39,0.048,0,0,0.002,0.003,1.39,1
73,Kelly,2,BOU,43,(A): EVE,82.15,1.648,0.016,0.022,0.11,0.059,82.15,1
74,Dembélé,3,BOU,47,,0,0,0,0,0,0,,
75,Anthony,3,BOU,52,(A): EVE,51.99,2.134,0.058,0.096,0.082,0.093,51.99,1
76,Zemura,2,BOU,42,(A): EVE,1.82,0.053,0,0.001,0,0.001,1.82,1
77,Dennis,1,BOU,39,,0,0,0,0,0,0,,
78,Jansson,2,BRE,42,(H): MCI,0,0,0,0,0,0,0,1
79,Nørgaard,3,BRE,53,(H): MCI,0,0,0,0,0,0,0,1
80,Toney,4,BRE,71,(H): MCI,0,0,0,0,0,0,0,1
81,Raya,1,BRE,48,(H): MCI,85.09,3.07,0.001,0.004,0.121,0.261,85.09,1
82,Canós,2,BRE,50,,0,0,0,0,0,0,,
83,Dasilva,3,BRE,41,(H): MCI,38.21,1.742,0.055,0.061,0.055,0.101,38.21,1
84,Ajer,2,BRE,45,(H): MCI,38.93,1.056,0.016,0.025,0.056,0.038,38.93,1
85,Henry,2,BRE,44,(H): MCI,69.02,1.706,0.018,0.055,0.105,0.056,69.02,1
86,Janelt,3,BRE,55,(H): MCI,62.06,2.133,0.05,0.058,0.108,0.104,62.06,1
87,Ghoddos,3,BRE,48,(H): MCI,17.37,0.883,0.027,0.029,0.011,0.04,17.37,1
88,Jensen,3,BRE,48,(H): MCI,69.65,2.629,0.065,0.128,0.131,0.144,69.65,1
89,Wissa,3,BRE,53,(H): MCI,62.96,3.296,0.2,0.111,0.118,0.267,62.96,1
90,Roerslev,2,BRE,43,(H): MCI,24.5,0.686,0.005,0.016,0.03,0.027,24.5,1
91,Bech,2,BRE,45,,0,0,0,0,0,0,,
92,Pinnock,2,BRE,44,(H): MCI,78.78,1.893,0.033,0.028,0.114,0.092,78.78,1
93,Onyeka,3,BRE,48,(H): MCI,49.82,1.889,0.059,0.044,0.084,0.081,49.82,1
94,Baptiste,3,BRE,45,(H): MCI,28.61,1.231,0.03,0.028,0.034,0.052,28.61,1
95,Mbeumo,4,BRE,57,(H): MCI,75.8,3.723,0.264,0.168,0,0.483,75.8,1
96,Goode,2,BRE,39,,0,0,0,0,0,0,,
97,Forss,4,BRE,45,,0,0,0,0,0,0,,
98,Thompson,2,BRE,40,,0,0,0,0,0,0,,
99,Bidstrup,3,BRE,45,,0,0,0,0,0,0,,
100,Balcombe,1,BRE,40,,0,0,0,0,0,0,,
101,Lallana,3,BHA,48,(A): AVL,0,0,0,0,0,0,0,1
102,Steele,1,BHA,39,(A): AVL,87.2,3.195,0,0.006,0.143,0.289,87.2,1
103,Welbeck,4,BHA,65,(A): AVL,34.01,1.879,0.111,0.063,0,0.179,34.01,1
104,Groß,3,BHA,54,(A): AVL,69.86,3.024,0.114,0.199,0.121,0.238,69.86,1
105,Duffy,2,FUL,42,(A): MUN,17.51,0.408,0.013,0.005,0.015,0.012,17.51,1
106,Dunk,2,BHA,48,(A): AVL,79.45,2.086,0.056,0.031,0.132,0.1,79.45,1
107,March,3,BHA,52,(A): AVL,16.61,0.772,0.031,0.036,0.026,0.052,16.61,1
108,Webster,2,BHA,45,(A): AVL,34.81,1.032,0.019,0.012,0.056,0.042,34.81,1
109,Veltman,2,BHA,46,(A): AVL,47.92,1.388,0.016,0.029,0.081,0.053,47.92,1
110,Maupay,4,EVE,56,(H): BOU,58.25,4.217,0.442,0.16,0,0.529,58.25,1
111,Trossard,3,ARS,66,(H): WOL,59.42,4.18,0.255,0.267,0.254,0.425,59.42,1
112,Cucurella,2,CHE,49,(H): NEW,7.33,0.302,0.003,0.011,0.006,0.012,7.33,1
113,Sánchez,1,BHA,44,(A): AVL,0,0,0,0,0,0,0,1
114,Lamptey,2,BHA,42,(A): AVL,0,0,0,0,0,0,0,1
115,Alzate,3,BHA,44,,0,0,0,0,0,0,,
116,Mac Allister,3,BHA,55,(A): AVL,61.82,3.002,0.196,0.127,0.105,0.243,61.82,1
117,Moder,3,BHA,44,(A): AVL,0,0,0,0,0,0,0,1
118,Mwepu,3,BHA,53,,0,0,0,0,0,0,,
119,Sarmiento,3,BHA,45,(A): AVL,0,0,0,0,0,0,0,1
120,Caicedo,3,BHA,50,(A): AVL,67.03,1.833,0.031,0.045,0.113,0.079,67.03,1
121,Richards,3,BHA,45,,0,0,0,0,0,0,,
122,Roberts,2,BHA,40,,0,0,0,0,0,0,,
123,Undav,4,BHA,50,(A): AVL,38.36,2.01,0.12,0.073,0,0.191,38.36,1
124,Mitoma,3,BHA,56,(A): AVL,73.45,3.445,0.182,0.171,0.128,0.26,73.45,1
125,Enciso,4,BHA,46,(A): AVL,55.04,2.434,0.105,0.106,0,0.245,55.04,1
126,Kozłowski,3,BHA,45,,0,0,0,0,0,0,,
127,Azpilicueta,2,CHE,47,(H): NEW,38.26,1.24,0.017,0.04,0.068,0.041,38.26,1
128,Thiago Silva,2,CHE,54,(H): NEW,64.9,1.789,0.03,0.02,0.122,0.092,64.9,1
129,Alonso,2,CHE,53,,0,0,0,0,0,0,,
130,Jorginho,3,ARS,57,(H): WOL,64.86,2.488,0.074,0.085,0.287,0.128,64.86,1
131,Barkley,3,CHE,49,,0,0,0,0,0,0,,
132,Kovacic,3,CHE,49,(H): NEW,29.32,1.078,0.023,0.044,0.054,0.05,29.32,1
133,Arrizabalaga,1,CHE,45,(H): NEW,69.4,2.57,0,0.002,0.128,0.227,69.4,1
134,Kanté,3,CHE,48,(H): NEW,11.17,0.428,0.006,0.013,0.015,0.018,11.17,1
135,Ziyech,3,CHE,55,(H): NEW,24.54,1.556,0.063,0.085,0.032,0.123,24.54,1
136,Loftus-Cheek,3,CHE,50,(H): NEW,41.07,1.682,0.039,0.048,0.077,0.067,41.07,1
137,Werner,4,CHE,79,,0,0,0,0,0,0,,
138,Kenedy,2,CHE,39,,0,0,0,0,0,0,,
139,Chilwell,2,CHE,56,(H): NEW,12.23,0.474,0.009,0.022,0.019,0.024,12.23,1
140,Pulisic,3,CHE,56,(H): NEW,21.65,1.236,0.049,0.043,0.026,0.058,21.65,1
141,Chalobah,2,CHE,44,(H): NEW,47.74,1.343,0.026,0.027,0.087,0.064,47.74,1
142,Mount,3,CHE,72,(H): NEW,13.32,0.837,0.046,0.038,0.018,0.062,13.32,1
143,Sarr,2,CHE,50,,0,0,0,0,0,0,,
144,Hudson-Odoi,3,CHE,53,,0,0,0,0,0,0,,
145,Havertz,4,CHE,74,(H): NEW,50.6,2.954,0.251,0.119,0,0.354,50.6,1
146,James,2,CHE,58,(H): NEW,14.92,0.662,0.02,0.036,0.025,0.044,14.92,1
147,Mendy,1,CHE,48,(H): NEW,20.15,0.72,0,0,0.037,0.041,20.15,1
148,Gallagher,3,CHE,56,(H): NEW,52.9,2.272,0.096,0.088,0.108,0.123,52.9,1
149,Gilmour,3,BHA,42,(A): AVL,32.47,1.27,0.018,0.03,0.047,0.048,32.47,1
150,Broja,4,CHE,52,(H): NEW,0,0,0,0,0,0,0,1
151,Ampadu,2,CHE,44,,0,0,0,0,0,0,,
152,Guaita,1,CRY,44,(H): NFO,7.59,0.321,0,0,0.028,0.025,7.59,1
153,Tomkins,2,CRY,39,(H): NFO,0,0,0,0,0,0,0,1
154,McArthur,3,CRY,48,(H): NFO,26.03,1.372,0.058,0.054,0.069,0.107,26.03,1
155,Benteke,4,CRY,55,,0,0,0,0,0,0,,
156,Ward,2,CRY,44,(H): NFO,66.89,2.681,0.029,0.047,0.253,0.207,66.89,1
157,Clyne,2,CRY,45,(H): NFO,23.03,1.016,0.008,0.022,0.063,0.066,23.03,1
158,Milivojevic,3,CRY,42,(H): NFO,0,0,0,0,0,0,0,1
159,J.Ayew,3,CRY,52,(H): NFO,71.51,4.054,0.257,0.185,0.29,0.301,71.51,1
160,Zaha,3,CRY,72,(H): NFO,0,0,0,0,0,0,0,1
161,Schlupp,3,CRY,47,(H): NFO,2.1,0.135,0.007,0.005,0.003,0.009,2.1,1
162,Butland,1,MUN,44,(H): FUL,1.31,0.055,0,0,0.005,0.004,1.31,1
163,Hughes,3,CRY,48,(H): NFO,50.28,2.211,0.066,0.093,0.188,0.144,50.28,1
164,Riedewald,3,CRY,42,(H): NFO,15.34,0.671,0.015,0.017,0.027,0.029,15.34,1
165,Andersen,2,CRY,45,(H): NFO,81.44,3.476,0.066,0.055,0.314,0.26,81.44,1
166,Edouard,4,CRY,50,(H): NFO,54.54,3.55,0.3,0.152,0,0.472,54.54,1
167,Guéhi,2,CRY,45,(H): NFO,75.2,3.074,0.047,0.035,0.283,0.257,75.2,1
168,Mateta,4,CRY,51,(H): NFO,30.33,2.253,0.184,0.08,0,0.308,30.33,1
169,Eze,3,CRY,57,(H): NFO,74.3,5.147,0.352,0.27,0.303,0.648,74.3,1
170,Mitchell,2,CRY,44,(H): NFO,68.97,2.878,0.021,0.074,0.266,0.203,68.97,1
171,Olise,3,CRY,53,(H): NFO,74.98,4.568,0.222,0.322,0.306,0.458,74.98,1
172,Rak-Sakyi,3,CRY,45,,0,0,0,0,0,0,,
173,Ebiowei,3,CRY,42,,0,0,0,0,0,0,,
174,Ferguson,2,CRY,39,(H): NFO,0,0,0,0,0,0,0,1
175,Johnstone,1,CRY,44,(H): NFO,82.23,3.466,0,0.004,0.309,0.253,82.23,1
176,Begović,1,EVE,38,(H): BOU,1.15,0.05,0,0,0.005,0.004,1.15,1
177,Rondón,4,EVE,49,,0,0,0,0,0,0,,
178,Coleman,2,EVE,41,(H): BOU,0,0,0,0,0,0,0,1
179,Townsend,3,EVE,54,(H): BOU,0,0,0,0,0,0,0,1
180,Keane,2,EVE,42,(H): BOU,30.75,1.563,0.04,0.023,0.12,0.154,30.75,1
181,Dele,3,EVE,53,,0,0,0,0,0,0,,
182,Pickford,1,EVE,44,(H): BOU,88.85,3.871,0,0.007,0.37,0.274,88.85,1
183,Allan,3,EVE,48,,0,0,0,0,0,0,,
184,André Gomes,3,EVE,45,,0,0,0,0,0,0,,
185,A.Doucouré,3,EVE,53,(H): BOU,78.96,4.06,0.215,0.215,0.347,0.347,78.96,1
186,Iwobi,3,EVE,49,(H): BOU,84.22,4.146,0.159,0.277,0.357,0.336,84.22,1
187,Gbamin,3,EVE,45,,0,0,0,0,0,0,,
188,Mina,2,EVE,43,(H): BOU,80.65,4.15,0.13,0.052,0.348,0.406,80.65,1
189,Gray,3,EVE,51,(H): BOU,41.32,2.943,0.209,0.145,0.155,0.241,41.32,1
190,Davies,3,EVE,49,(H): BOU,2.96,0.183,0.005,0.004,0.004,0.007,2.96,1
191,Calvert-Lewin,4,EVE,79,(H): BOU,0,0,0,0,0,0,0,1
192,Holgate,2,EVE,42,(H): BOU,54.72,2.51,0.04,0.049,0.227,0.177,54.72,1
193,Godfrey,2,EVE,43,(H): BOU,0,0,0,0,0,0,0,1
194,Mykolenko,2,EVE,41,(H): BOU,55.51,2.573,0.026,0.075,0.234,0.207,55.51,1
195,Gordon,3,NEW,51,(A): CHE,32.92,1.895,0.091,0.084,0.067,0.104,32.92,1
196,Branthwaite,2,EVE,40,,0,0,0,0,0,0,,
197,Patterson,2,EVE,39,(H): BOU,0,0,0,0,0,0,0,1
198,Nkounkou,2,EVE,40,,0,0,0,0,0,0,,
199,Tarkowski,2,EVE,41,(H): BOU,86.95,4.108,0.102,0.062,0.364,0.388,86.95,1
200,Cairney,3,FUL,47,(A): MUN,51.08,2.127,0.057,0.087,0.065,0.124,51.08,1
201,Ream,2,FUL,45,(A): MUN,0,0,0,0,0,0,0,1
202,Knockaert,3,FUL,47,,0,0,0,0,0,0,,
203,Chalobah,3,FUL,44,,0,0,0,0,0,0,,
204,Kebano,3,FUL,54,(A): MUN,21.67,1.119,0.035,0.033,0.016,0.047,21.67,1
205,De Cordova-Reid,3,FUL,54,(A): MUN,33.68,1.477,0.053,0.041,0.031,0.047,33.68,1
206,Bryan,2,FUL,44,,0,0,0,0,0,0,,
207,Gazzaniga,1,FUL,40,,0,0,0,0,0,0,,
208,Kongolo,2,FUL,39,,0,0,0,0,0,0,,
209,Tosin,2,FUL,44,(A): MUN,82.85,1.564,0.032,0.018,0.085,0.053,82.85,1
210,Mitrović,4,FUL,66,(A): MUN,70.19,3.451,0.317,0.104,0,0.383,70.19,1
211,Reed,3,FUL,43,(A): MUN,72.66,2.135,0.027,0.059,0.095,0.088,72.66,1
212,Wilson,3,FUL,57,(A): MUN,61.21,2.816,0.128,0.116,0.085,0.192,61.21,1
213,Rodák,1,FUL,43,(A): MUN,3.85,0.135,0,0,0.004,0.009,3.85,1
214,Cavaleiro,3,FUL,48,,0,0,0,0,0,0,,
215,Tete,2,FUL,44,(A): MUN,72.33,1.455,0.016,0.06,0.08,0.049,72.33,1
216,Onomah,3,FUL,43,,0,0,0,0,0,0,,
217,Robinson,2,FUL,44,(A): MUN,80.95,1.5,0.009,0.064,0.087,0.051,80.95,1
218,Muniz,4,FUL,54,,0,0,0,0,0,0,,
219,Stansfield,4,FUL,45,,0,0,0,0,0,0,,
220,Palhinha,3,FUL,49,(A): MUN,84.06,2.317,0.084,0.039,0.089,0.086,84.06,1
221,Cooper,2,LEE,44,(H): TOT,24.94,0.75,0.013,0.008,0.038,0.027,24.94,1
222,Ayling,2,LEE,45,(H): TOT,78.71,2.34,0.049,0.097,0.144,0.105,78.71,1
223,Klich,3,LEE,46,,0,0,0,0,0,0,,
224,Forshaw,3,LEE,44,(H): TOT,41.02,1.545,0.029,0.041,0.073,0.05,41.02,1
225,Rodrigo,3,LEE,63,(H): TOT,51.98,3.416,0.248,0.158,0.116,0.322,71.98,1
226,Dallas,2,LEE,49,(H): TOT,0,0,0,0,0,0,0,1
227,Bamford,4,LEE,71,(H): TOT,28.34,1.861,0.174,0.055,0,0.203,28.34,1
228,Llorente,2,LEE,44,,0,0,0,0,0,0,,
229,Roberts,3,LEE,50,,0,0,0,0,0,0,,
230,Koch,2,LEE,45,(H): TOT,79.99,2.197,0.06,0.033,0.146,0.072,79.99,1
231,James,3,FUL,59,(A): MUN,5.8,0.323,0.01,0.008,0.001,0.013,5.8,1
232,Raphinha,3,LEE,70,,0,0,0,0,0,0,,
233,Harrison,3,LEE,57,(H): TOT,66.81,3.29,0.131,0.204,0.151,0.2,66.81,1
234,Shackleton,3,LEE,45,,0,0,0,0,0,0,,
235,Struijk,2,LEE,45,(H): TOT,47.12,1.456,0.032,0.028,0.084,0.063,47.12,1
236,Klaesson,1,LEE,38,(H): TOT,0,0,0,0,0,0,0,1
237,Greenwood,4,LEE,41,(H): TOT,38.69,2.013,0.1,0.105,0,0.182,38.69,1
238,Meslier,1,LEE,44,(H): TOT,4.68,0.168,0,0,0.008,0.01,4.68,1
239,Firpo,2,LEE,45,(H): TOT,26.1,0.858,0.015,0.03,0.038,0.023,26.1,1
240,Summerville,3,LEE,42,(H): TOT,40.86,2.184,0.113,0.083,0.069,0.146,40.86,1
241,Bate,3,LEE,45,,0,0,0,0,0,0,,
242,Gelhardt,4,LEE,51,,0,0,0,0,0,0,,
243,Hjelde,2,LEE,39,,0,0,0,0,0,0,,
244,Kristensen,2,LEE,47,(H): TOT,71.31,2.021,0.052,0.046,0.13,0.086,71.31,1
245,Roca,3,LEE,48,(H): TOT,32.2,1.441,0.039,0.063,0.046,0.064,32.2,1
246,Aaronson,3,LEE,53,(H): TOT,48.76,2.393,0.1,0.112,0.097,0.106,48.76,1
247,Gyabi,3,LEE,42,(H): TOT,0,0,0,0,0,0,0,1
248,Schmeichel,1,LEI,50,,0,0,0,0,0,0,,
249,Evans,2,LEI,44,(H): WHU,79.76,2.691,0.04,0.028,0.235,0.164,79.76,1
250,Bertrand,2,LEI,39,(H): WHU,0,0,0,0,0,0,0,1
251,Albrighton,3,LEI,47,,0,0,0,0,0,0,,
252,Mendy,3,LEI,42,(H): WHU,6.74,0.351,0.002,0.003,0.006,0.01,6.74,1
253,Vestergaard,2,LEI,38,(H): WHU,0,0,0,0,0,0,0,1
254,Ward,1,LEI,38,(H): WHU,0,0,0,0,0,0,0,1
255,Vardy,4,LEI,91,(H): WHU,54.29,3.658,0.341,0.135,0,0.48,54.29,1
256,Ricardo,2,LEI,42,(H): WHU,47.65,2.082,0.032,0.082,0.132,0.165,47.65,1
257,Amartey,2,LEI,39,(H): WHU,15.81,0.554,0.006,0.007,0.034,0.037,15.81,1
258,Castagne,2,LEI,43,(H): WHU,82.15,3.071,0.047,0.089,0.238,0.213,82.15,1
259,Tielemans,3,LEI,61,(H): WHU,78.26,3.302,0.141,0.149,0.243,0.238,78.26,1
260,Pérez,3,LEI,47,,0,0,0,0,0,0,,
261,Maddison,3,LEI,78,(H): WHU,78.91,4.817,0.273,0.347,0.233,0.53,78.91,1
262,Iheanacho,4,LEI,58,(H): WHU,54.31,3.514,0.261,0.156,0,0.557,74.31,1
