rank,name,confed,off,def,spi
1,Brazil,CONMEBOL,3.12,0.28,93.19
2,Germany,UEFA,3.43,0.67,89.95
3,Argentina,CONMEBOL,2.84,0.39,89.65
4,Spain,UEFA,2.6,0.34,88.51
5,France,UEFA,2.97,0.54,88.3
6,England,UEFA,2.72,0.44,87.82
7,Portugal,UEFA,2.78,0.52,87.02
8,Netherlands,UEFA,2.53,0.55,83.98
9,Colombia,CONMEBOL,2.15,0.47,81.18
10,Belgium,UEFA,2.44,0.65,80.92
11,Italy,UEFA,2.31,0.58,80.65
12,Algeria,CAF,2.2,0.58,79.36
13,Uruguay,CONMEBOL,2.08,0.51,79.24
14,Croatia,UEFA,2.2,0.6,78.82
15,Denmark,UEFA,2.05,0.6,76.68
16,Switzerland,UEFA,2.19,0.7,76.42
17,Japan,AFC,2.04,0.62,75.96
18,Czech Republic,UEFA,2.18,0.74,75.42
19,Serbia,UEFA,2.25,0.84,74.41
20,Mexico,CONCACAF,1.88,0.59,74.07
21,Ecuador,CONMEBOL,1.9,0.62,73.84
22,Austria,UEFA,2.11,0.79,73.2
23,Morocco,CAF,1.74,0.53,73.16
24,Senegal,CAF,1.78,0.57,73.02
25,USA,CONCACAF,1.89,0.67,72.36
26,South Korea,AFC,1.96,0.72,72.35
27,Norway,UEFA,2.0,0.75,72.31
28,Canada,CONCACAF,1.96,0.75,71.81
29,Ukraine,UEFA,1.87,0.76,69.78
30,Sweden,UEFA,2.04,0.9,69.72
31,Chile,CONMEBOL,1.78,0.74,68.58
32,Scotland,UEFA,1.85,0.81,68.34
33,Iran,AFC,1.72,0.71,68.31
34,Venezuela,CONMEBOL,1.85,0.82,68.08
35,Poland,UEFA,1.85,0.82,68.05
36,Tunisia,CAF,1.56,0.61,67.83
37,Peru,CONMEBOL,1.82,0.82,67.59
38,Turkey,UEFA,2.03,1.01,67.18
39,Russia,UEFA,1.86,0.9,66.55
40,Greece,UEFA,1.53,0.63,66.54
41,Egypt,CAF,1.54,0.68,65.54
42,Hungary,UEFA,1.7,0.85,64.51
43,Nigeria,CAF,1.65,0.81,64.46
44,Australia,AFC,1.63,0.8,64.26
45,Ivory Coast,CAF,1.57,0.76,63.94
46,Cameroon,CAF,1.59,0.79,63.73
47,Paraguay,CONMEBOL,1.64,0.84,63.67
48,Rep of Ireland,UEFA,1.52,0.74,63.39
49,Wales,UEFA,1.58,0.83,62.48
50,Panama,CONCACAF,1.63,0.9,61.73
51,Mali,CAF,1.44,0.77,60.97
52,Basque Country,UEFA,1.63,1.0,59.32
53,Bosnia and Herzegovina,UEFA,1.6,0.99,59.2
54,Finland,UEFA,1.54,0.97,58.25
55,Romania,UEFA,1.59,1.02,58.01
56,New Zealand,OFC,1.53,0.98,57.61
57,Georgia,UEFA,1.48,0.95,57.41
58,Uzbekistan,AFC,1.63,1.11,56.86
59,Slovenia,UEFA,1.43,0.94,56.63
60,Jamaica,CONCACAF,1.53,1.03,56.54
61,Saudi Arabia,AFC,1.55,1.06,56.25
62,Bolivia,CONMEBOL,1.72,1.23,56.1
63,Kosovo,UEFA,1.64,1.21,54.82
64,Israel,UEFA,1.87,1.43,54.72
65,Ghana,CAF,1.49,1.08,54.71
66,Burkina Faso,CAF,1.31,0.92,54.38
67,Montenegro,UEFA,1.32,0.93,54.15
68,Northern Ireland,UEFA,1.41,1.03,54.09
69,Slovakia,UEFA,1.43,1.05,53.79
70,Guatemala,CONCACAF,1.39,1.04,53.23
71,North Macedonia,UEFA,1.34,1.0,52.86
72,Costa Rica,CONCACAF,1.38,1.05,52.66
73,Haiti,CONCACAF,1.56,1.24,52.62
74,South Africa,CAF,1.22,0.92,51.94
75,Oman,AFC,1.24,0.96,51.53
76,Angola,CAF,1.41,1.14,51.39
77,Uganda,CAF,1.22,0.95,51.32
78,Gabon,CAF,1.27,1.01,51.1
79,Honduras,CONCACAF,1.41,1.15,50.99
80,Albania,UEFA,1.18,0.93,50.81
81,Iraq,AFC,1.15,0.9,50.74
82,Iceland,UEFA,1.4,1.16,50.54
83,Cape Verde Islands,CAF,1.19,1.01,49.32
84,Bahrain,AFC,1.35,1.21,48.38
85,Qatar,AFC,1.34,1.24,47.53
86,Zambia,CAF,1.48,1.4,47.35
87,Equatorial Guinea,CAF,1.14,1.04,47.16
88,Congo DR,CAF,1.1,1.03,46.24
89,Madagascar,CAF,1.37,1.33,46.04
90,El Salvador,CONCACAF,1.19,1.18,45.14
91,Togo,CAF,1.25,1.25,45.1
92,Jordan,AFC,1.08,1.08,44.8
93,Bulgaria,UEFA,1.26,1.27,44.73
94,Namibia,CAF,1.03,1.05,44.03
95,Guinea,CAF,1.11,1.14,43.98
96,United Arab Emirates,AFC,1.12,1.16,43.75
97,Mauritania,CAF,0.95,0.98,43.44
98,Ethiopia,CAF,1.11,1.24,41.69
99,Libya,CAF,1.24,1.4,41.54
100,Luxembourg,UEFA,1.15,1.34,40.78
101,Benin,CAF,0.93,1.1,40.24
102,Kenya,CAF,1.09,1.3,40.21
103,Curacao,CONCACAF,1.17,1.4,39.91
104,Swaziland,CAF,1.12,1.34,39.82
105,China PR,AFC,1.01,1.24,39.22
106,Malawi,CAF,1.02,1.26,39.14
107,Vietnam,AFC,0.97,1.2,39.1
108,Armenia,UEFA,1.21,1.52,38.49
109,Estonia,UEFA,1.02,1.29,38.44
110,Suriname,CONCACAF,1.19,1.52,37.98
111,Zimbabwe,CAF,1.08,1.4,37.94
112,Azerbaijan,UEFA,0.98,1.27,37.9
113,Trinidad and Tobago,CONCACAF,1.05,1.36,37.68
114,Palestine,AFC,1.03,1.37,37.26
115,Congo,CAF,0.91,1.22,37.17
116,Mozambique,CAF,0.92,1.22,37.15
117,Guinea-Bissau,CAF,1.02,1.36,36.96
118,Botswana,CAF,0.75,1.03,36.85
119,Gambia,CAF,0.94,1.29,36.65
120,Cuba,CONCACAF,0.98,1.33,36.65
121,Belarus,UEFA,1.03,1.44,35.72
122,Tanzania,CAF,0.96,1.36,35.7
123,Sierra Leone,CAF,1.13,1.6,35.11
124,Latvia,UEFA,1.14,1.66,34.31
125,Niger,CAF,1.1,1.61,34.31
126,Thailand,AFC,0.93,1.42,33.66
127,Nicaragua,CONCACAF,1.02,1.55,33.44
128,Comoros,CAF,0.99,1.51,33.41
129,Central African Republic,CAF,1.14,1.73,32.96
130,Rwanda,CAF,0.68,1.13,32.52
131,Faroe Islands,UEFA,0.97,1.55,32.34
132,Syria,AFC,1.07,1.75,31.03
133,North Korea,AFC,0.81,1.39,30.99
134,Kuwait,AFC,0.87,1.49,30.87
135,Moldova,UEFA,0.88,1.57,29.68
136,Sudan,CAF,0.96,1.69,29.64
137,Burundi,CAF,0.8,1.46,29.59
138,Tajikistan,AFC,0.85,1.54,29.24
139,Kazakhstan,UEFA,0.83,1.57,28.5
140,Cyprus,UEFA,0.88,1.65,28.27
141,Malta,UEFA,0.81,1.61,27.3
142,Kyrgyzstan,AFC,0.94,1.8,27.18
143,Bermuda,CONCACAF,1.16,2.17,26.4
144,Martinique,CONCACAF,0.97,1.91,26.23
145,Liberia,CAF,0.76,1.61,26.01
146,Dominican Republic,CONCACAF,0.78,1.64,25.94
147,Lithuania,UEFA,0.81,1.75,25.13
148,Lebanon,AFC,0.66,1.52,25.11
149,Puerto Rico,CONCACAF,0.81,1.82,23.96
150,Chad,CAF,0.82,1.87,23.52
151,India,AFC,0.7,1.74,22.65
152,Lesotho,CAF,0.69,1.75,22.24
153,Zanzibar,CAF,0.49,1.47,21.39
154,Turkmenistan,AFC,0.87,2.1,21.3
155,Fiji,OFC,0.66,1.78,21.26
156,South Sudan,CAF,0.68,1.84,20.76
157,St. Kitts and Nevis,CONCACAF,0.88,2.19,20.44
158,French Guiana,CONCACAF,0.91,2.24,20.41
159,Indonesia,AFC,0.89,2.23,20.07
160,Solomon Islands,OFC,0.75,2.02,19.97
161,Eritrea,CAF,0.79,2.1,19.77
162,Guyana,CONCACAF,1.04,2.55,19.16
163,Malaysia,AFC,0.78,2.14,19.09
164,Tahiti,OFC,0.77,2.19,18.23
165,Grenada,CONCACAF,0.6,1.91,18.12
166,Montserrat,CONCACAF,0.97,2.55,17.86
167,Antigua and Barbuda,CONCACAF,0.79,2.3,17.37
168,New Caledonia,OFC,0.69,2.17,16.84
169,Andorra,UEFA,0.45,1.82,15.87
170,Vanuatu,OFC,0.64,2.21,15.4
171,St. Lucia,CONCACAF,0.48,2.0,14.46
172,Sao Tome and Principe,CAF,0.81,2.63,14.31
173,Hong Kong,AFC,0.39,1.86,14.04
174,Belize,CONCACAF,0.5,2.16,13.36
175,Guadeloupe,CONCACAF,0.62,2.45,12.91
176,Dominica,CONCACAF,0.42,2.08,12.53
177,Papua New Guinea,OFC,0.69,2.65,12.25
178,Gibraltar,UEFA,0.53,2.34,12.21
179,Mauritius,CAF,0.53,2.34,12.14
180,St. Vincent and the Grenadines,CONCACAF,0.62,2.58,11.74
181,Singapore,AFC,0.56,2.46,11.72
182,Philippines,AFC,0.53,2.39,11.7
183,Afghanistan,AFC,0.59,2.59,11.12
184,Barbados,CONCACAF,0.4,2.24,10.69
185,Yemen,AFC,0.44,2.54,9.1
186,Somalia,CAF,0.52,2.74,8.96
187,Nepal,AFC,0.51,2.77,8.7
188,Djibouti,CAF,0.75,3.33,8.45
189,Aruba,CONCACAF,0.56,3.0,7.91
190,Seychelles,CAF,0.32,2.63,6.87
191,Liechtenstein,UEFA,0.32,2.65,6.78
192,Maldives,AFC,0.38,2.97,5.85
193,Mongolia,AFC,0.22,2.56,5.77
194,Chinese Taipei,AFC,0.53,3.37,5.75
195,Bahamas,CONCACAF,0.37,3.07,5.29
196,Bonaire,CONCACAF,0.45,3.3,5.24
197,San Marino,UEFA,0.23,2.78,4.96
198,Myanmar,AFC,0.46,3.42,4.87
199,Bangladesh,AFC,0.21,2.79,4.68
200,Cayman Islands,CONCACAF,0.27,3.08,4.24
201,Cambodia,AFC,0.39,3.45,4.1
202,Guam,AFC,0.52,3.82,4.07
203,Northern Mariana Islands,AFC,0.43,4.27,2.4
204,St. Martin,CONCACAF,0.25,3.76,2.26
205,Sri Lanka,AFC,0.24,3.84,2.05
206,Anguilla,CONCACAF,0.22,3.83,1.94
207,Pakistan,AFC,0.2,3.92,1.71
208,Laos,AFC,0.2,4.12,1.44
209,US Virgin Islands,CONCACAF,0.2,4.16,1.38
210,British Virgin Islands,CONCACAF,0.25,4.5,1.21
211,Brunei,AFC,0.2,4.38,1.14
212,Bhutan,AFC,0.22,4.62,0.98
213,Cook Islands,OFC,0.2,4.72,0.85
214,Sint Maarten,CONCACAF,0.28,5.21,0.72
215,Tuvalu,OFC,0.38,5.62,0.7
216,Timor-Leste,AFC,0.27,5.25,0.69
217,Macau,AFC,0.2,5.01,0.66
218,Turks and Caicos Islands,CONCACAF,0.43,6.27,0.47
219,Samoa,OFC,0.2,5.78,0.34
220,Tonga,OFC,0.2,6.08,0.26
