Pos,ID,Name,BV,SV,Team,1_xMins,1_Pts,2_xMins,2_Pts,3_xMins,3_Pts,4_xMins,4_Pts,5_xMins,5_Pts,6_xMins,6_Pts,7_xMins,7_Pts,8_xMins,8_Pts
M,308.0,Salah,125,125,Liverpool,84.0,6.376,84.0,7.228,84.0,5.327,84.0,6.454,84.0,7.025,84.0,7.077,84.0,6.509,84.0,5.519
F,355.0,Haaland,140,140,Man City,80.0,6.658,80.0,4.904,80.0,7.355,80.0,6.221,80.0,6.011,80.0,6.781,80.0,6.507,80.0,4.725
F,500.0,Kane,125,125,Spurs,85.0,5.183,85.0,5.088,85.0,5.786,85.0,5.918,85.0,6.803,85.0,4.693,85.0,4.973,85.0,6.751
M,373.0,Fernandes,85,85,Man Utd,85.0,6.035,85.0,5.356,85.0,6.19,85.0,4.744,85.0,5.07,85.0,6.0,85.0,5.636,85.0,5.464
M,349.0,De Bruyne,105,105,Man City,70.0,5.774,70.0,4.908,70.0,5.824,70.0,5.587,70.0,5.312,70.0,5.874,70.0,5.639,70.0,4.802
M,19.0,Saka,85,85,Arsenal,84.0,5.962,84.0,5.259,84.0,5.744,84.0,5.167,84.0,5.463,84.0,5.679,84.0,5.675,84.0,4.397
M,396.0,Rashford,90,90,Man Utd,80.0,5.799,80.0,5.313,80.0,5.831,80.0,4.487,80.0,4.633,80.0,5.662,80.0,5.398,80.0,5.212
M,108.0,Mbeumo,65,65,Brentford,83.0,5.277,83.0,5.044,83.0,5.211,83.0,5.549,83.0,4.255,83.0,5.39,83.0,5.357,83.0,4.584
M,143.0,Mitoma,65,65,Brighton,82.0,5.592,82.0,5.328,82.0,5.235,82.0,4.4,82.0,4.662,82.0,5.479,82.0,4.809,82.0,4.458
F,8.0,Jesus,80,80,Arsenal,77.0,5.198,77.0,4.898,77.0,5.196,77.0,4.641,77.0,5.143,77.0,4.963,77.0,5.123,77.0,4.234
D,430.0,Trippier,65,65,Newcastle,85.0,4.876,85.0,3.357,85.0,4.419,85.0,4.109,85.0,5.251,85.0,5.792,85.0,6.502,85.0,5.086
M,14.0,Ødegaard,85,85,Arsenal,82.0,5.473,82.0,4.814,82.0,5.207,82.0,4.596,82.0,5.044,82.0,5.007,82.0,5.167,82.0,3.983
M,516.0,Son,90,90,Spurs,77.0,4.721,77.0,4.626,77.0,5.179,77.0,5.25,77.0,5.441,77.0,4.148,77.0,4.272,77.0,5.296
M,134.0,Groß,65,65,Brighton,85.0,5.545,85.0,5.04,85.0,5.018,85.0,4.367,85.0,4.237,85.0,5.319,85.0,4.426,85.0,4.491
M,12.0,Martinelli,80,80,Arsenal,73.0,5.226,73.0,4.655,73.0,4.992,73.0,4.5,73.0,4.865,73.0,4.835,73.0,4.982,73.0,4.031
M,216.0,Sterling,70,70,Chelsea,73.0,4.142,73.0,4.612,73.0,5.165,73.0,5.028,73.0,4.875,73.0,4.478,73.0,4.663,73.0,4.889
M,226.0,Eze,65,65,Crystal Palace,84.0,4.97,84.0,4.193,84.0,4.44,84.0,5.157,84.0,4.478,84.0,4.955,84.0,4.253,84.0,5.185
D,290.0,Alexander-Arnold,80,80,Liverpool,82.0,4.286,82.0,6.02,82.0,3.454,82.0,4.445,82.0,5.045,82.0,5.332,82.0,4.604,82.0,3.655
F,278.0,Mitrović,75,75,Fulham,85.0,4.623,85.0,4.319,85.0,3.842,85.0,3.771,85.0,5.558,85.0,4.383,85.0,4.432,85.0,5.558
F,60.0,Watkins,80,80,Aston Villa,86.0,3.971,86.0,4.932,86.0,5.018,86.0,3.998,86.0,4.716,86.0,4.502,86.0,4.144,86.0,5.008
F,415.0,Isak,75,75,Newcastle,70.0,4.536,70.0,4.014,70.0,4.281,70.0,4.091,70.0,4.485,70.0,5.272,70.0,4.827,70.0,4.557
M,353.0,Foden,75,75,Man City,67.0,4.523,67.0,3.756,67.0,5.256,67.0,4.455,67.0,4.313,67.0,4.659,67.0,4.491,67.0,3.699
D,206.0,James,55,55,Chelsea,75.0,3.345,75.0,4.05,75.0,5.377,75.0,5.149,75.0,4.399,75.0,3.869,75.0,4.132,75.0,4.531
F,212.0,Nkunku,75,75,Chelsea,75.0,3.792,75.0,4.3,75.0,5.148,75.0,4.379,75.0,4.348,75.0,4.132,75.0,4.354,75.0,4.389
M,504.0,Maddison,75,75,Spurs,70.0,4.088,70.0,4.079,70.0,4.476,70.0,4.542,70.0,4.751,70.0,3.714,70.0,3.857,70.0,4.694
D,307.0,Robertson,65,65,Liverpool,80.0,3.912,80.0,5.613,80.0,3.101,80.0,4.048,80.0,4.657,80.0,4.932,80.0,4.218,80.0,3.301
D,368.0,Stones,55,55,Man City,74.0,4.328,74.0,3.533,74.0,4.576,74.0,4.709,74.0,3.981,74.0,5.27,74.0,4.305,74.0,3.051
G,17.0,Ramsdale,50,50,Arsenal,89.0,5.25,89.0,3.848,89.0,4.723,89.0,3.93,89.0,4.102,89.0,4.519,89.0,4.226,89.0,3.014
D,131.0,Estupiñán,50,50,Brighton,77.0,5.631,77.0,4.475,77.0,4.544,77.0,3.339,77.0,3.293,77.0,5.193,77.0,3.39,77.0,3.359
M,140.0,March,65,65,Brighton,77.0,4.62,77.0,4.333,77.0,4.272,77.0,3.645,77.0,3.832,77.0,4.511,77.0,3.899,77.0,3.702
D,5.0,Gabriel,50,50,Arsenal,85.0,5.332,85.0,3.706,85.0,4.632,85.0,3.789,85.0,4.03,85.0,4.487,85.0,4.2,85.0,2.574
G,352.0,Ederson,55,55,Man City,88.0,4.142,88.0,3.48,88.0,4.339,88.0,4.622,88.0,3.803,88.0,5.071,88.0,4.108,88.0,3.102
M,209.0,Mount,70,70,Man Utd,75.0,4.423,75.0,4.009,75.0,4.448,75.0,3.523,75.0,3.64,75.0,4.316,75.0,4.092,75.0,3.923
M,526.0,Bowen,70,70,West Ham,77.0,4.451,77.0,4.185,77.0,3.582,77.0,4.566,77.0,3.479,77.0,3.578,77.0,4.707,77.0,3.622
G,230.0,Johnstone,45,45,Crystal Palace,89.0,4.326,89.0,3.402,89.0,3.619,89.0,4.605,89.0,3.546,89.0,4.415,89.0,3.4,89.0,4.75
G,424.0,Pope,55,55,Newcastle,89.0,3.936,89.0,2.964,89.0,3.567,89.0,3.383,89.0,4.269,89.0,4.595,89.0,5.23,89.0,4.043
D,398.0,Shaw,55,55,Man Utd,78.0,4.864,78.0,3.766,78.0,5.019,78.0,2.725,78.0,3.283,78.0,4.239,78.0,4.136,78.0,3.902
D,195.0,Chilwell,55,55,Chelsea,74.0,3.104,74.0,3.682,74.0,5.019,74.0,4.729,74.0,4.016,74.0,3.494,74.0,3.767,74.0,4.114
M,86.0,Tavernier,55,55,Bournemouth,78.0,4.303,78.0,3.609,78.0,4.233,78.0,3.921,78.0,4.096,78.0,3.61,78.0,3.683,78.0,4.242
G,148.0,Steele,45,45,Brighton,89.0,5.165,89.0,4.106,89.0,4.219,89.0,3.32,89.0,3.29,89.0,4.73,89.0,3.403,89.0,3.326
D,313.0,Van Dijk,60,60,Liverpool,86.0,3.651,86.0,5.256,86.0,2.905,86.0,3.77,86.0,4.305,86.0,4.598,86.0,3.924,86.0,3.07
D,20.0,Saliba,50,50,Arsenal,85.0,5.193,85.0,3.557,85.0,4.471,85.0,3.596,85.0,3.87,85.0,4.294,85.0,4.043,85.0,2.413
D,31.0,Zinchenko,50,50,Arsenal,77.0,5.107,77.0,3.511,77.0,4.409,77.0,3.676,77.0,3.828,77.0,4.261,77.0,4.013,77.0,2.486
G,291.0,Alisson,55,55,Liverpool,89.0,3.65,89.0,5.012,89.0,3.079,89.0,3.77,89.0,4.153,89.0,4.471,89.0,3.851,89.0,3.245
D,350.0,Dias,55,55,Man City,73.0,4.0,73.0,3.257,73.0,4.244,73.0,4.376,73.0,3.655,73.0,4.931,73.0,3.977,73.0,2.779
F,437.0,Awoniyi,65,65,Nott'm Forest,75.0,3.406,75.0,4.876,75.0,3.645,75.0,3.837,75.0,4.208,75.0,3.347,75.0,3.865,75.0,3.864
M,379.0,Eriksen,60,60,Man Utd,73.0,4.183,73.0,3.798,73.0,4.208,73.0,3.409,73.0,3.527,73.0,4.082,73.0,3.918,73.0,3.758
F,433.0,Wilson,80,80,Newcastle,65.0,3.74,65.0,3.295,65.0,3.554,65.0,3.422,65.0,3.704,65.0,4.92,65.0,4.349,65.0,3.879
F,119.0,Wissa,60,60,Brentford,75.0,3.886,75.0,3.9,75.0,3.843,75.0,4.016,75.0,3.377,75.0,3.94,75.0,4.009,75.0,3.597
M,35.0,Buendía,60,60,Aston Villa,75.0,3.411,75.0,4.119,75.0,4.15,75.0,3.46,75.0,3.945,75.0,3.744,75.0,3.553,75.0,4.121
G,597.0,Onana,50,50,Man Utd,89.0,4.473,89.0,3.598,89.0,4.633,89.0,2.855,89.0,3.272,89.0,3.959,89.0,3.941,89.0,3.749
M,447.0,Gibbs-White,60,60,Nott'm Forest,80.0,3.485,80.0,4.331,80.0,3.56,80.0,3.74,80.0,4.261,80.0,3.357,80.0,3.833,80.0,3.843
M,539.0,Paquetá,60,60,West Ham,80.0,4.131,80.0,3.871,80.0,3.443,80.0,4.203,80.0,3.384,80.0,3.437,80.0,4.384,80.0,3.518
G,187.0,Arrizabalaga,50,50,Chelsea,89.0,3.134,89.0,3.552,89.0,4.561,89.0,4.356,89.0,3.689,89.0,3.466,89.0,3.674,89.0,3.802
D,29.0,White,55,55,Arsenal,75.0,4.94,75.0,3.394,75.0,4.263,75.0,3.513,75.0,3.698,75.0,4.13,75.0,3.871,75.0,2.354
F,85.0,Solanke,65,65,Bournemouth,85.0,4.013,85.0,3.497,85.0,3.981,85.0,3.763,85.0,3.882,85.0,3.448,85.0,3.521,85.0,4.034
G,263.0,Pickford,45,45,Everton,89.0,4.008,89.0,3.058,89.0,4.125,89.0,3.898,89.0,3.02,89.0,3.235,89.0,4.477,89.0,4.097
G,49.0,Martínez,50,50,Aston Villa,89.0,3.03,89.0,4.439,89.0,4.146,89.0,3.041,89.0,4.127,89.0,3.625,89.0,3.44,89.0,4.043
D,341.0,Akanji,50,50,Man City,70.0,3.816,70.0,3.131,70.0,4.049,70.0,4.159,70.0,3.477,70.0,4.7,70.0,3.794,70.0,2.676
D,112.0,Pinnock,45,45,Brentford,85.0,3.889,85.0,3.63,85.0,3.864,85.0,4.482,85.0,2.634,85.0,4.25,85.0,3.96,85.0,3.007
F,246.0,Calvert-Lewin,60,60,Everton,74.0,3.743,74.0,3.589,74.0,3.872,74.0,3.755,74.0,3.285,74.0,3.585,74.0,3.939,74.0,3.879
M,303.0,Luis Díaz,75,75,Liverpool,67.0,3.636,67.0,4.119,67.0,3.272,67.0,3.652,67.0,3.983,67.0,3.907,67.0,3.748,67.0,3.33
M,432.0,Willock,55,55,Newcastle,75.0,3.721,75.0,3.161,75.0,3.426,75.0,3.329,75.0,3.794,75.0,4.094,75.0,4.242,75.0,3.833
G,101.0,Flekken,45,45,Brentford,89.0,3.811,89.0,3.706,89.0,3.801,89.0,4.298,89.0,2.795,89.0,4.104,89.0,3.824,89.0,3.093
M,249.0,A.Doucouré,55,55,Everton,80.0,3.764,80.0,3.39,80.0,3.887,80.0,3.805,80.0,3.277,80.0,3.417,80.0,3.967,80.0,3.875
M,344.0,Bernardo,65,65,Man City,70.0,3.81,70.0,3.273,70.0,3.861,70.0,3.803,70.0,3.631,70.0,3.983,70.0,3.786,70.0,3.193
G,275.0,Leno,45,45,Fulham,89.0,3.704,89.0,3.642,89.0,2.991,89.0,2.634,89.0,4.532,89.0,3.556,89.0,3.711,89.0,4.482
D,395.0,Varane,50,50,Man Utd,80.0,4.44,80.0,3.361,80.0,4.597,80.0,2.459,80.0,3.002,80.0,3.819,80.0,3.738,80.0,3.527
F,211.0,N.Jackson,70,70,Chelsea,65.0,3.109,65.0,3.43,65.0,4.396,65.0,3.736,65.0,3.729,65.0,3.26,65.0,3.447,65.0,3.776
M,402.0,Almirón,65,65,Newcastle,72.0,3.586,72.0,3.175,72.0,3.423,72.0,3.336,72.0,3.662,72.0,3.929,72.0,4.072,72.0,3.688
M,570.0,Sarabia,50,50,Wolves,74.0,3.529,74.0,3.285,74.0,3.925,74.0,3.802,74.0,3.283,74.0,4.19,74.0,3.14,74.0,3.708
D,342.0,Aké,50,50,Man City,67.0,3.704,67.0,3.02,67.0,3.917,67.0,4.002,67.0,3.395,67.0,4.496,67.0,3.683,67.0,2.62
D,257.0,Keane,45,45,Everton,78.0,3.805,78.0,2.727,78.0,4.115,78.0,3.861,78.0,2.648,78.0,2.955,78.0,4.52,78.0,4.088
D,32.0,Álex Moreno,50,50,Aston Villa,76.0,2.645,76.0,4.475,76.0,4.193,76.0,2.667,76.0,4.077,76.0,3.38,76.0,3.178,76.0,4.094
M,450.0,Johnson,60,60,Nott'm Forest,77.0,3.221,77.0,4.114,77.0,3.33,77.0,3.577,77.0,4.079,77.0,3.118,77.0,3.608,77.0,3.661
M,259.0,McNeil,55,55,Everton,75.0,3.59,75.0,3.316,75.0,3.74,75.0,3.721,75.0,3.25,75.0,3.347,75.0,3.956,75.0,3.728
D,217.0,Thiago Silva,50,50,Chelsea,80.0,2.699,80.0,3.264,80.0,4.555,80.0,4.346,80.0,3.578,80.0,3.156,80.0,3.354,80.0,3.685
M,397.0,Sancho,70,70,Man Utd,67.0,3.819,67.0,3.568,67.0,3.84,67.0,3.15,67.0,3.237,67.0,3.745,67.0,3.572,67.0,3.487
M,130.0,Enciso,55,55,Brighton,62.0,4.649,62.0,3.697,62.0,3.606,62.0,3.073,62.0,3.197,62.0,3.78,62.0,3.277,62.0,3.095
M,376.0,Casemiro,55,55,Man Utd,82.0,3.901,82.0,3.503,82.0,3.927,82.0,3.029,82.0,3.17,82.0,3.745,82.0,3.595,82.0,3.47
D,129.0,Dunk,50,50,Brighton,85.0,4.94,85.0,3.758,85.0,3.872,85.0,2.815,85.0,2.762,85.0,4.513,85.0,2.777,85.0,2.839
M,568.0,Podence,55,55,Wolves,74.0,3.38,74.0,3.387,74.0,3.716,74.0,3.611,74.0,3.382,74.0,3.983,74.0,3.249,74.0,3.558
G,502.0,Lloris,50,50,Spurs,89.0,3.188,89.0,3.305,89.0,3.61,89.0,3.746,89.0,4.357,89.0,2.848,89.0,3.005,89.0,3.842
D,427.0,Schär,50,50,Newcastle,85.0,3.388,85.0,2.052,85.0,3.054,85.0,2.771,85.0,3.804,85.0,4.286,85.0,4.973,85.0,3.568
D,109.0,Mee,50,50,Brentford,85.0,3.658,85.0,3.398,85.0,3.633,85.0,4.25,85.0,2.405,85.0,4.019,85.0,3.728,85.0,2.775
M,267.0,Andreas,55,55,Fulham,78.0,3.555,78.0,3.419,78.0,3.103,78.0,2.968,78.0,3.904,78.0,3.451,78.0,3.453,78.0,3.893
D,305.0,Matip,50,50,Liverpool,72.0,3.172,72.0,4.653,72.0,2.555,72.0,3.268,72.0,3.751,72.0,4.036,72.0,3.43,72.0,2.709
G,533.0,Fabianski,45,45,West Ham,80.0,3.66,80.0,3.641,80.0,2.977,80.0,3.91,80.0,2.83,80.0,2.981,80.0,4.382,80.0,3.108
M,525.0,Benrahma,60,60,West Ham,65.0,3.656,65.0,3.423,65.0,3.166,65.0,3.852,65.0,3.047,65.0,3.183,65.0,3.95,65.0,3.179
D,103.0,Henry,45,45,Brentford,78.0,3.571,78.0,3.317,78.0,3.552,78.0,4.159,78.0,2.39,78.0,3.927,78.0,3.636,78.0,2.728
M,354.0,Grealish,75,75,Man City,67.0,3.565,67.0,3.017,67.0,3.612,67.0,3.537,67.0,3.358,67.0,3.708,67.0,3.532,67.0,2.95
D,405.0,Botman,45,45,Newcastle,84.0,3.3,84.0,2.042,84.0,3.015,84.0,2.735,84.0,3.717,84.0,4.151,84.0,4.833,84.0,3.474
D,151.0,Veltman,45,45,Brighton,75.0,4.743,75.0,3.607,75.0,3.712,75.0,2.726,75.0,2.695,75.0,4.328,75.0,2.673,75.0,2.749
M,406.0,Bruno Guimarães,60,60,Newcastle,82.0,3.385,82.0,2.88,82.0,3.162,82.0,3.044,82.0,3.461,82.0,3.784,82.0,3.95,82.0,3.536
M,365.0,Rodri,55,55,Man City,82.0,3.498,82.0,3.091,82.0,3.554,82.0,3.551,82.0,3.32,82.0,3.737,82.0,3.488,82.0,2.947
D,153.0,Webster,45,45,Brighton,82.0,4.754,82.0,3.577,82.0,3.689,82.0,2.703,82.0,2.65,82.0,4.328,82.0,2.598,82.0,2.725
D,391.0,Martínez,50,50,Man Utd,78.0,4.193,78.0,3.121,78.0,4.349,78.0,2.223,78.0,2.765,78.0,3.574,78.0,3.497,78.0,3.288
M,236.0,Olise,60,60,Crystal Palace,72.0,3.648,72.0,3.01,72.0,3.171,72.0,3.647,72.0,3.196,72.0,3.476,72.0,3.062,72.0,3.674
M,416.0,Joelinton,60,60,Newcastle,75.0,3.316,75.0,2.934,75.0,3.197,75.0,3.1,75.0,3.389,75.0,3.676,75.0,3.823,75.0,3.416
M,106.0,Jensen,55,55,Brentford,77.0,3.403,77.0,3.374,77.0,3.384,77.0,3.622,77.0,2.941,77.0,3.531,77.0,3.496,77.0,3.04
D,407.0,Burn,45,45,Newcastle,82.0,3.206,82.0,1.956,82.0,2.929,82.0,2.651,82.0,3.621,82.0,4.055,82.0,4.736,82.0,3.38
G,77.0,Neto,45,45,Bournemouth,89.0,3.704,89.0,2.798,89.0,3.626,89.0,3.142,89.0,3.51,89.0,2.903,89.0,2.952,89.0,3.494
M,55.0,Ramsey,60,60,Aston Villa,75.0,2.946,75.0,3.528,75.0,3.524,75.0,2.968,75.0,3.366,75.0,3.208,75.0,3.055,75.0,3.486
M,429.0,Tonali,55,55,Newcastle,74.0,3.228,74.0,2.82,74.0,3.083,74.0,2.995,74.0,3.301,74.0,3.568,74.0,3.711,74.0,3.34
M,423.0,Murphy,50,50,Newcastle,67.0,3.175,67.0,2.808,67.0,3.066,67.0,3.002,67.0,3.241,67.0,3.569,67.0,3.677,67.0,3.327
M,30.0,Xhaka,60,60,Arsenal,79.0,3.606,79.0,3.116,79.0,3.397,79.0,3.049,79.0,3.242,79.0,3.318,79.0,3.33,79.0,2.761
M,599.0,Diaby,65,65,Aston Villa,65.0,2.869,65.0,3.472,65.0,3.52,65.0,2.912,65.0,3.328,65.0,3.154,65.0,3.001,65.0,3.476
F,390.0,Martial,65,65,Man Utd,65.0,3.372,65.0,3.247,65.0,3.365,65.0,2.934,65.0,2.946,65.0,3.401,65.0,3.242,65.0,3.143
D,265.0,Tarkowski,45,45,Everton,82.0,3.411,82.0,2.329,82.0,3.731,82.0,3.476,82.0,2.306,82.0,2.553,82.0,4.141,82.0,3.696
M,309.0,Szoboszlai,70,70,Liverpool,65.0,3.101,65.0,3.588,65.0,2.859,65.0,3.125,65.0,3.444,65.0,3.366,65.0,3.241,65.0,2.915
G,569.0,Sá,50,50,Wolves,89.0,2.922,89.0,2.988,89.0,3.504,89.0,3.317,89.0,3.057,89.0,3.918,89.0,2.681,89.0,3.218
M,603.0,Barnes,65,65,Newcastle,62.0,3.057,62.0,2.712,62.0,2.866,62.0,2.82,62.0,3.106,62.0,4.191,62.0,3.568,62.0,3.264
M,256.0,Iwobi,55,55,Everton,77.0,3.268,77.0,2.903,77.0,3.386,77.0,3.314,77.0,2.87,77.0,2.929,77.0,3.466,77.0,3.378
D,220.0,Andersen,45,45,Crystal Palace,85.0,3.584,85.0,2.543,85.0,2.667,85.0,3.918,85.0,2.558,85.0,3.553,85.0,2.522,85.0,4.063
M,567.0,Neto,55,55,Wolves,75.0,3.029,75.0,3.025,75.0,3.357,75.0,3.241,75.0,3.021,75.0,3.695,75.0,2.863,75.0,3.149
D,234.0,Mitchell,45,45,Crystal Palace,77.0,3.563,77.0,2.548,77.0,2.67,77.0,3.884,77.0,2.564,77.0,3.532,77.0,2.533,77.0,4.026
M,501.0,Kulusevski,70,70,Spurs,67.0,3.008,67.0,2.94,67.0,3.324,67.0,3.377,67.0,3.53,67.0,2.759,67.0,2.831,67.0,3.525
D,377.0,Dalot,50,50,Man Utd,67.0,3.832,67.0,2.978,67.0,3.961,67.0,2.179,67.0,2.601,67.0,3.35,67.0,3.244,67.0,3.089
M,58.0,Tielemans,60,60,Aston Villa,76.0,2.835,76.0,3.418,76.0,3.384,76.0,2.856,76.0,3.272,76.0,3.088,76.0,2.961,76.0,3.36
D,36.0,Cash,45,45,Aston Villa,77.0,2.299,77.0,3.947,77.0,3.646,77.0,2.312,77.0,3.566,77.0,2.935,77.0,2.827,77.0,3.544
D,544.0,Zouma,45,45,West Ham,78.0,3.552,78.0,3.379,78.0,2.552,78.0,3.857,78.0,2.188,78.0,2.356,78.0,4.426,78.0,2.682
F,297.0,Gakpo,75,75,Liverpool,65.0,3.034,65.0,3.323,65.0,2.879,65.0,3.036,65.0,3.338,65.0,3.226,65.0,3.13,65.0,2.88
D,506.0,Pedro Porro,50,50,Spurs,65.0,2.741,65.0,2.796,65.0,3.351,65.0,3.461,65.0,4.055,65.0,2.22,65.0,2.479,65.0,3.639
M,110.0,Nørgaard,55,55,Brentford,77.0,3.136,77.0,3.107,77.0,3.122,77.0,3.358,77.0,2.704,77.0,3.264,77.0,3.232,77.0,2.796
D,496.0,Dier,45,45,Spurs,78.0,2.675,78.0,2.872,78.0,3.325,78.0,3.446,78.0,4.209,78.0,2.107,78.0,2.468,78.0,3.59
F,132.0,Ferguson,60,60,Brighton,62.0,3.878,62.0,3.233,62.0,3.108,62.0,2.692,62.0,2.798,62.0,3.227,62.0,2.935,62.0,2.77
D,48.0,Konsa,45,45,Aston Villa,77.0,2.255,77.0,3.873,77.0,3.576,77.0,2.267,77.0,3.492,77.0,2.864,77.0,2.78,77.0,3.473
